Species	Genus	Annual	Log_GenomeSize	Log_GenomeSize_nowarning	GenomeSize	GenomeSize_nowarning	Genomesize_BUSCO	CollectionCode	latitude	longitude	precip_month_01	precip_month_02	precip_month_03	precip_month_04	precip_month_05	precip_month_06	precip_month_07	precip_month_08	precip_month_09	precip_month_10	precip_month_11	precip_month_12	bioclim_bio_1	bioclim_bio_2	bioclim_bio_3	bioclim_bio_4	bioclim_bio_5	bioclim_bio_6	bioclim_bio_7	bioclim_bio_8	bioclim_bio_9	bioclim_bio_10	bioclim_bio_11	bioclim_bio_12	bioclim_bio_13	bioclim_bio_14	bioclim_bio_15	bioclim_bio_16	bioclim_bio_17	bioclim_bio_18	bioclim_bio_19	median_relax_k	optional
C2ETO	Epiplatys	NonAnnual	20.43821597	NA	7.52E+08	NA	759168472	Palime	6.90866	0.6295683	22.81081081	48.56756757	144.3611111	136.6111111	168.0833333	233.5833333	252.6388889	188.7777778	243.7777778	179.8611111	66.27777778	32.44444444	260	102	74	942	335	198	137	264	263	272	247	1421	204	25	51	529	102	319	455	1.01087942	TRUE
C3EGH	Epiplatys	NonAnnual	20.58877577	20.58877577	8.74E+08	8.74E+08	957042966		6.465051	3.3793068	16.97297297	30.64864865	70.36111111	132.6111111	216	340.9444444	221.8333333	83.52777778	210.1944444	194	57.52777778	12.36111111	270	65	70	1074	319	227	92	265	277	284	255	1688	383	20	75	883	86	277	492	0.9993496698	TRUE
E18.EDG	Epiplatys	NonAnnual	20.33322052	20.33322052	6.77E+08	6.77E+08	696682598	Liberia	7.08345	-9.16098	13.62162162	52.48648649	132.4722222	152.3611111	187.4166667	247.1111111	286.75	295.8888889	378.3333333	229.4722222	101.25	33.13888889	253	133	76	570	344	169	175	246	251	257	246	2055	397	18	58	853	117	382	853	1.016075514	TRUE
C7ELM	Epiplatys	NonAnnual	20.58588419	NA	8.72E+08	NA	1006391357	Koule	8.0374528	-9.0246164	6.891891892	43.78378378	137.8055556	153.5555556	170.0833333	205.25	337.4722222	407.8888889	365.3055556	218.0555556	84.08333333	19.5	241	147	69	844	346	133	213	235	237	253	234	2127	368	16	63	989	105	348	160	0.9119119959	TRUE
C5EGN	Epiplatys	NonAnnual	NA	NA	NA	NA	1065684976		10.3753299	-12.096349	2.135135135	4.567567568	12.44444444	58.72222222	134.9166667	192.5	248.1944444	349.0277778	286	152.9444444	26.77777778	2.611111111	239	108	61	1425	333	158	175	224	238	259	224	1872	420	4	91	1094	17	108	1094	0.8310352192	TRUE
C6ESP	Epiplatys	NonAnnual	20.32162918	NA	6.69E+08	NA	1284065107	Pool Malebo	-4.281944	15.488611	161.4054054	130.2432432	176.5555556	204.4166667	142.5	3.805555556	0.05555555556	1.75	36.61111111	130.25	266.0833333	203.8888889	257	98	68	1276	322	179	143	259	236	269	236	1395	243	2	68	557	14	513	14	0.417105161	TRUE
X14EMF	Epiplatys	NonAnnual	20.41516777	20.41516777	7.35E+08	7.35E+08	1053682529	AMNH-I-254532	-4.31183	15.69461	156.5135135	135.8648649	179.9444444	214.3611111	146.7222222	4.777777778	2.416666667	11.08333333	43.11111111	145.1944444	268.4444444	210.5277778	251	98	69	1207	316	174	142	255	232	263	232	1433	241	3	66	558	16	528	16	0.4471676822	TRUE
C19APT	Archiaphyosemion	NonAnnual	20.46073606	20.46073606	7.69E+08	7.69E+08	1056928381	Banco National Park	5.3597014	-4.047239	28.37837838	40.24324324	86.97222222	120.2777778	269.6666667	405.7222222	155.5555556	42.86111111	75.36111111	180.75	160.4722222	77.88888889	263	74	67	1089	320	211	109	259	269	275	247	1766	533	22	89	945	158	308	285	0.9430357788	TRUE
A18ARG	Archiaphyosemion	NonAnnual	20.56841291	20.56841291	8.57E+08	8.57E+08	992333635	Guinea	8.03242	-9.08186	7.513513514	43.37837838	144.0277778	155.4722222	168.5833333	216.7222222	347.9722222	415.5	375.25	226.5277778	85.30555556	20.38888889	237	147	69	823	342	131	211	231	234	249	231	2166	376	17	63	1011	109	355	1011	0.645663137	TRUE
C18AMS	Archiaphyosemion	NonAnnual	20.59252944	20.59252944	8.77E+08	8.77E+08	1009897968	Lola	7.8025042	-8.5473945	8.945945946	55.35135135	121.0833333	138.3055556	152.3333333	187.8888889	260.8055556	309.5	326.6666667	205.7222222	81.19444444	19.66666667	243	140	67	984	344	138	206	233	240	256	233	1930	344	13	65	904	92	306	904	0.650899142	TRUE
M1.SSC	Scriptaphyosemion	NonAnnual	20.50746701	20.50746701	8.06E+08	8.06E+08	863172144	Juarzon	5.3113326	-8.9677403	34.59459459	113.3513514	205.3055556	181.8611111	396.4166667	512.2777778	189.9166667	223.9722222	428.3055556	377.8611111	246.4166667	95.86111111	254	97	82	551	319	201	118	251	260	260	246	3653	598	106	52	1322	450	450	981	0.9208349954	TRUE
C9.SGG	Scriptaphyosemion	NonAnnual	20.38343319	NA	7.12E+08	NA	944920331	Sougueta, Guinea	10.14842	-12.5420486	1	0.1891891892	9.444444444	63.44444444	153.0277778	246.3611111	296.9166667	415.5555556	330.2777778	219.3888889	41.36111111	4.583333333	254	108	63	1455	351	181	170	237	255	274	237	2085	485	3	94	1239	17	92	1239	0.8813748494	TRUE
C8.SBT	Scriptaphyosemion	NonAnnual	20.41064689	20.41064689	7.32E+08	7.32E+08	941750505		7.8639308	-11.2393575	14.13513514	25.86486486	72.27777778	120.8333333	212.3333333	293.6944444	406.9166667	514.7777778	378.6388889	311.7222222	164.9166667	30.55555556	258	99	71	828	333	195	138	247	258	268	247	2742	500	15	70	1332	94	276	1332	0.9121956038	TRUE
C11SCV concat	Scriptaphyosemion	NonAnnual	20.38225025	20.38225025	7.11E+08	7.11E+08	804159757	Kindia?	10.0472856	-12.8916412	1.891891892	3.27027027	7.555555556	47.47222222	148.0277778	251.9722222	397.1388889	504.25	330.2222222	226.7777778	29.36111111	5.194444444	245	102	63	1431	339	179	160	228	247	265	228	2268	569	3	99	1412	16	77	1412	0.9234197723	TRUE
X12CSB	Callopanchax	Annual	20.498121	20.498121	7.98E+08	7.98E+08	1000569874	GM 97/2	9.5451667	-13.244022	1	1.459459459	6.583333333	35.30555556	132.5833333	338.6388889	781.5555556	929.8333333	468.6111111	276.4444444	81.30555556	5.333333333	285	90	58	1774	374	221	153	266	296	311	266	3376	1000	1	117	2383	9	199	2383	0.7252353925	TRUE
C13CHW	Callopanchax	Annual	20.68729523	20.68729523	9.65E+08	9.65E+08	1569288918	NA	8.1666667	-12.4688554	3.648648649	11.08108108	24.80555556	66.83333333	199.8055556	322.0833333	461.5	649.3611111	427	287.8611111	131.4722222	19.83333333	260	83	69	927	327	208	119	248	266	272	248	2729	612	5	87	1524	50	335	1524	0.539045384	TRUE
CTORUN4	Callopanchax	Annual	20.46835802	20.46835802	7.75E+08	7.75E+08	1008777674	GM 97 / 7 - Takhori	10.1365249	-14.0347904	0	0	2.944444444	10.41666667	84.02777778	295.8888889	941.25	977.5833333	490.7222222	292.5277778	46.41666667	2.694444444	304	112	55	1907	409	207	202	286	307	333	286	3321	1057	0	128	2482	4	117	2482	0.725973176	TRUE
C14CMR	Callopanchax	Annual	20.34397687	NA	6.84E+08	NA	758861639	97 / L	6.2833333	-10.7188554	34.35135135	60.16216216	79.25	141.9444444	340.5277778	807.3611111	723.4166667	474.25	639.8611111	489.7777778	170.3055556	73.44444444	257	95	79	716	320	200	120	249	264	266	247	4400	842	40	79	2153	190	306	2016	0.8819539968	TRUE
A15ACY	Aphyosemion	NonAnnual	20.20120793	20.20120793	5.93E+08	5.93E+08	1280836870	Gabon	0.483715	12.892465	83.35135135	78.54054054	233.6388889	220.6388889	188.1944444	57.52777778	10.80555556	23	145.0277778	293.2222222	222.8055556	116.8333333	238	90	75	1018	299	179	120	239	222	247	222	1657	302	12	60	668	91	596	91	0.8945896733	TRUE
E15.AKM	Aphyosemion	NonAnnual	20.4647941	20.4647941	7.72E+08	7.72E+08	953894244		0.4166667	10.064478	173.027027	191.4594595	284.3333333	270.25	219.7777778	33.41666667	2.416666667	12.97222222	148.6666667	414	393.3888889	199.2777778	257	76	71	927	311	205	106	258	244	267	244	2545	447	4	68	1096	41	845	41	0.9508970216	TRUE
AAU2RUN4	Aphyosemion	NonAnnual	20.5195266	20.5195266	8.16E+08	8.16E+08	1150200734		-0.7724438	8.7811	242.5135135	171.2162162	257.0833333	254.6666667	135.4166667	8.944444444	2.361111111	5.75	24.97222222	160.1388889	341.6388889	203.8333333	257	59	59	1273	305	206	99	262	237	271	237	1961	341	1	72	824	10	748	10	0.9649297638	TRUE
X8AGM	Aphyosemion	NonAnnual	20.62414955	NA	9.06E+08	NA	1084345326		-0.2444324	10.4046526	148.972973	129.4054054	233.6388889	255.5555556	178.9444444	20.97222222	1.361111111	4.833333333	95.47222222	377	397.2777778	228.75	261	84	71	1017	318	201	117	263	245	270	245	2157	407	4	71	970	31	695	31	0.9831095546	TRUE
A20ACG2	Aphyosemion	NonAnnual	20.7992434	20.7992434	1.08E+09	1.08E+09	1232479164	Congo	-2	16	134.8648649	136.1621622	161.3333333	149.5	154.5	38.77777778	31.25	48.16666667	138.1666667	244.4444444	203.7222222	173.0833333	256	97	82	409	315	198	117	252	252	261	252	1706	242	24	45	632	121	491	632	0.8925130581	TRUE
H1.APC	Aphyosemion	NonAnnual	20.27049086	20.27049086	6.36E+08	6.36E+08	1352663106	Bolo Bai	2.279846	15.6829073	45.72972973	66.54054054	120.3055556	125.5	161.3888889	121.5	117.4166667	161.1111111	221.4722222	229.9166667	139.9444444	67.77777778	245	104	80	602	312	182	130	243	245	253	238	1616	226	46	40	590	184	375	468	0.8665545693	TRUE
E17.ACM	Aphyosemion	NonAnnual	20.78778594	NA	1.07E+09	NA	1114410740	Cameroon	2.9427408	11.04877	30.72972973	77.59459459	163.2777778	205.5833333	212.9444444	154.3055556	76.16666667	106.5555556	232.6944444	336.3333333	155.7777778	44.13888889	240	85	77	812	297	187	110	235	246	248	227	1905	332	38	57	762	175	498	386	0.8647484735	TRUE
A19ACL	Aphyosemion	NonAnnual	20.78476156	20.78476156	1.06E+09	1.06E+09	1462647824	Niari, Congo	-2.32706	12.833	177.1891892	181.4054054	245.7222222	245.3888889	176.9444444	14.63888889	1.416666667	1.583333333	37.91666667	237.0555556	326.7777778	276.5	227	93	71	1099	290	160	130	231	210	238	210	1891	321	3	67	758	20	702	20	0.8106259894	TRUE
C52.AKN	Aphyosemion	SemiAnnual	20.76027455	20.76027455	1.04E+09	1.04E+09	1183550354		0.5652073	12.8475021	81.02702703	84.75675676	225.0277778	217.1944444	185.9166667	59.25	8.388888889	26.47222222	149.9722222	291.2222222	205.6666667	109.3611111	240	90	75	1024	301	181	120	242	224	249	224	1646	303	13	61	668	94	593	94	0.732624604	TRUE
E16.AKN	Aphyosemion	SemiAnnual	20.80798127	20.80798127	1.09E+09	1.09E+09	1151280154		1.5590361	11.5560256	65.64864865	79.21621622	194.25	242.8333333	196.5833333	92.19444444	19.22222222	46.83333333	231.8888889	337.4166667	185.6111111	84.75	232	96	79	769	295	174	121	230	221	240	221	1797	325	21	58	751	168	517	284	0.720689742	TRUE
FTHRUN4	Fundulosoma	SemiAnnual	20.54383224	20.54383224	8.36E+08	8.36E+08	1208317331	Ada	5.897045	0.468341	11.97297297	19.27027027	68.02777778	106.5555556	139.3055556	167.0555556	83.02777778	44.80555556	62.02777778	70.38888889	34.16666667	13.88888889	269	73	68	1213	324	217	107	273	277	283	251	901	190	8	70	452	53	212	170	0.9015533509	TRUE
PSYRUN4	Pronothobranchius	Annual	20.58287391	20.58287391	8.69E+08	8.69E+08	1325180029	Accra?	5.6878503	-0.1148312	10.35135135	25.37837838	66.47222222	87.41666667	132.1111111	146.1944444	56.72222222	33.27777778	77.19444444	79.69444444	41.83333333	26.86111111	268	75	70	1166	322	215	107	272	275	281	250	842	200	13	73	435	67	192	149	0.9185248661	TRUE
C40NOC	Nothobranchius	Annual	20.48342192	20.48342192	7.87E+08	7.87E+08	2012338370	pool 3km W. of Kikonkono, 57km E. of Selous Game Reserve E. gate on road to Kibiti, 20km W. of road jct. at Mkongo	-7.8637009	38.7100234	123.7027027	88.86486486	144.4166667	188.1944444	113.75	13.94444444	13.13888889	8.472222222	13.47222222	34.72222222	87.11111111	171.3888889	263	79	66	1326	316	198	118	274	245	278	245	942	212	8	77	467	33	364	33	0.8217532337	TRUE
X10NVS	Nothobranchius	Annual	20.68137001	20.68137001	9.59E+08	9.59E+08	1251485153	TNKS 2013/35 Makaka	-4.788201	38.1970273	59.59459459	39.51351351	109.7777778	80.86111111	75.05555556	17.33333333	9.916666667	13.63888889	12.83333333	24.30555556	76.88888889	80.80555556	228	117	66	1835	321	145	176	235	205	250	203	676	126	12	63	322	47	194	55	0.7955468322	TRUE
C35NFS	Nothobranchius	Annual	20.44115922	20.44115922	7.54E+08	7.54E+08	1004695345	Soga?	-6.8460284	38.8644324	67	69.62162162	148.4722222	221.7777778	147.4444444	37.88888889	16.63888889	23.38888889	16.41666667	59.69444444	105.9166667	121.9722222	254	95	69	1412	318	181	137	261	236	271	235	999	217	18	67	484	69	303	74	0.8605791526	TRUE
C37NKF	Nothobranchius	Annual	20.50914356	20.50914356	8.07E+08	8.07E+08	2517355942	Kayuni state farm, 10km North Monze	-16.174211	27.4071743	204.8648649	158.5675676	89.75	15.58333333	2.138888889	1	0	0	1.277777778	18.05555556	69.30555556	169.1111111	208	148	55	3184	325	60	265	231	162	241	162	827	224	0	121	610	0	333	0	0.641318672	TRUE
V3.NVG	Nothobranchius	Annual	20.72437122	20.72437122	1.00E+09	1.00E+09	1168405699	Sudan	11.95	32.0978113	0	0	1.055555556	9.111111111	36.63888889	54.05555556	120.25	128.75	88.13888889	35.52777778	1.388888889	0	275	140	63	1924	389	167	222	267	264	301	251	494	141	0	119	358	0	94	0	0.7020030661	TRUE
G1.NRC	Nothobranchius	Annual	20.86943845	20.86943845	1.16E+09	1.16E+09	1300759172	Beira 98	-19.7681344	34.8270058	315.5675676	262.1621622	266.3333333	147.6111111	75.36111111	24.97222222	40.58333333	39.08333333	21.36111111	46.80555556	71.41666667	236.0277778	247	93	57	2569	320	157	163	273	217	275	210	1301	248	22	80	696	73	687	83	0.7714834163	TRUE
NotfurRef	Nothobranchius	Annual	21.13426664	21.13426664	1.51E+09	1.51E+09	1534967536	GRZ	-21.369533	32.0026483	113.6486486	85.81081081	55.25	20.97222222	8.222222222	6.361111111	3.805555556	5.305555556	10.22222222	20.33333333	61.27777778	113.1111111	230	141	61	3074	325	96	229	261	185	261	185	557	120	3	93	339	18	339	18	0.7946407808	TRUE
NORRUN4	Nothobranchius	Annual	20.82176873	20.82176873	1.10E+09	1.10E+09	1548592001	Beira	-19.81355	34.9027113	310.027027	272.1621622	273.6944444	149.6388889	83.91666667	32.27777778	37.58333333	41.16666667	22.30555556	45.83333333	75.41666667	239.5	247	89	55	2601	318	159	159	274	215	274	209	1376	259	23	79	732	82	715	94	0.8025242515	TRUE
C31FSC	Fundulopanchax	SemiAnnual	20.66964326	20.66964326	9.48E+08	9.48E+08	1630152194		5.3204188	8.3317565	17.24324324	45.48648649	144.4722222	188.5833333	268.9722222	394.8055556	470	408.1388889	402.6388889	355.1944444	173.5555556	35.88888889	264	85	77	795	325	216	109	253	266	274	253	2515	382	24	62	1072	103	376	1072	0.942498502	TRUE
