num	null_model	altermodel	LogLikelihoodRatio	null_est	alt_est
39	-142595.995814	-142488.658846	107.33696799999	lambda: 0.00100215525449_mu: 0.00062367117911	lambda: 0.00100834837251,0.00059407261349_mu: 0.00058911797780,0.00000000000038
40	-144215.134924	-144040.369907	174.76501700003	lambda: 0.00101527073959_mu: 0.00060756791563	lambda: 0.00102737979245,0.00014631189199_mu: 0.00061694393395,0.00000000000381
41	-144235.599627	-144048.709705	186.889922	lambda: 0.00101590832414_mu: 0.00061486459171	lambda: 0.00102710215621,0.00015490423350_mu: 0.00062515970613,0.00000000012131
42	-143003.433272	-142823.189118	180.24415399999	lambda: 0.00100509661395_mu: 0.00059894722360	lambda: 0.00101684997617,0.00011228776981_mu: 0.00060805326032,0.00000000006768
43	-144089.742955	-143896.184876	193.55807899998	lambda: 0.00102017402842_mu: 0.00061601719866	lambda: 0.00103104446918,0.00025942803027_mu: 0.00062596004728,0.00000000000388
44	-143177.324795	-143002.112149	175.212646	lambda: 0.00100287892207_mu: 0.00060765606178	lambda: 0.00101061587344,0.00017480154189_mu: 0.00061978317451,0.00000000000037
45	-143852.832575	-143725.473607	127.35896800002	lambda: 0.00100835723406_mu: 0.00060306925910	lambda: 0.00101923931965,0.00077012462433_mu: 0.00060969361672,0.00000000000999
46	-143600.357144	-143419.348835	181.008309	lambda: 0.00101609195393_mu: 0.00061708808077	lambda: 0.00102813001456,0.00013756409089_mu: 0.00062708674745,0.00000018276098
47	-144407.239648	-144217.784285	189.45536299999	lambda: 0.00101120318958_mu: 0.00061651066576	lambda: 0.00101899616205,0.00011974380019_mu: 0.00062836364989,0.00000000000024
48	-144552.601237	-144356.893696	195.70754099998	lambda: 0.00100534673892_mu: 0.00061940991397	lambda: 0.00101869590824,0.00005790424816_mu: 0.00062865685670,0.00000000000650
49	-143666.477041	-143503.196341	163.2807	lambda: 0.00100160081492_mu: 0.00062404566732	lambda: 0.00101291678691,0.00020389718247_mu: 0.00063399964524,0.00000000291303
50	-143730.838483	-143548.454432	182.384051	lambda: 0.00101415608088_mu: 0.00060891332339	lambda: 0.00102590895318,0.00007530909753_mu: 0.00060445414090,0.00000000000007
51	-143711.757545	-143547.417773	164.33977200001	lambda: 0.00101352930900_mu: 0.00061408741405	lambda: 0.00101616800235,0.00019453499282_mu: 0.00062712610067,0.00008032085384
52	-143451.256062	-143250.536825	200.71923700001	lambda: 0.00100537476814_mu: 0.00061038593325	lambda: 0.00101784337604,0.00007220550004_mu: 0.00062125029574,0.00000000000606
53	-143286.771391	-143105.678718	181.09267299998	lambda: 0.00101895789695_mu: 0.00060225009650	lambda: 0.00102902996502,0.00017587045847_mu: 0.00061282929811,0.00000000000555
54	-143557.093125	-143381.534051	175.55907400002	lambda: 0.00101136250820_mu: 0.00063085714893	lambda: 0.00102206847145,0.00040341718572_mu: 0.00064048856609,0.00000000013298
55	-143476.926968	-143303.079840	173.84712800002	lambda: 0.00100172972755_mu: 0.00060355516441	lambda: 0.00098653984248,0.00017835645285_mu: 0.00063861102545,0.00000000000060
56	-143290.219749	-143111.243823	178.97592600001	lambda: 0.00100516278849_mu: 0.00060903650912	lambda: 0.00101604209344,0.00016230909444_mu: 0.00061876620428,0.00000000000337
57	-143457.895150	-143284.792994	173.10215600001	lambda: 0.00101069023689_mu: 0.00061144326368	lambda: 0.00102085893507,0.00016650955018_mu: 0.00062148756265,0.00000000000830
58	-143167.560192	-142972.440216	195.11997600002	lambda: 0.00102061531324_mu: 0.00060976098733	lambda: 0.00103111928793,0.00010027775776_mu: 0.00062312155204,0.00000000045785
59	-143535.761270	-143367.468320	168.29294999997	lambda: 0.00100857883132_mu: 0.00060227915887	lambda: 0.00102357812450,0.00006794921719_mu: 0.00059647170923,0.00000000000366
60	-143802.024369	-143630.224966	171.79940299998	lambda: 0.00101858062879_mu: 0.00061516542788	lambda: 0.00102887880116,0.00022402752914_mu: 0.00062553692289,0.00000000000625
61	-143190.361354	-143009.722426	180.638928	lambda: 0.00100752902523_mu: 0.00060887587039	lambda: 0.00102092399393,0.00009376655030_mu: 0.00061835872294,0.00000000031832
62	-144014.875308	-143832.337627	182.53768099999	lambda: 0.00101319890428_mu: 0.00061143019071	lambda: 0.00102109051529,0.00006925280804_mu: 0.00064015565902,0.00000000000012
63	-144571.003172	-144393.861547	177.14162499999	lambda: 0.00100567317921_mu: 0.00062803305017	lambda: 0.00095334844521,0.00000000000005_mu: 0.00065534419177,0.00000001645007
64	-143866.653604	-143684.990274	181.66332999998	lambda: 0.00101964527769_mu: 0.00061467032880	lambda: 0.00103226183762,0.00011963521635_mu: 0.00062460822769,0.00000000348178
65	-143785.407322	-143843.725671	-58.318348999979	lambda: 0.00099695572470_mu: 0.00061688215048	lambda: 0.00099169692783,0.00018364458742_mu: 0.00049179746187,0.00000000000001
66	-143573.925184	-143392.064665	181.86051899998	lambda: 0.00100045731220_mu: 0.00061853046795	lambda: 0.00101215993829,0.00008476125861_mu: 0.00062847096668,0.00000000000029
67	-144022.060033	-143826.588496	195.47153699998	lambda: 0.00101346683441_mu: 0.00060772793314	lambda: 0.00102477177669,0.00012292839303_mu: 0.00061804156960,0.00000000000009
68	-143401.725603	-143401.001090	0.72451299999375	lambda: 0.00099632613516_mu: 0.00060560148216	lambda: 0.00101220734787,0.00147148303056_mu: 0.00061674795610,0.00000000000016
69	-143376.199379	-143189.073455	187.12592399999	lambda: 0.00099723814728_mu: 0.00061581383798	lambda: 0.00100861993702,0.00011005129095_mu: 0.00062489750495,0.00000000000073
70	-143959.134166	-143776.086126	183.04803999999	lambda: 0.00101469983248_mu: 0.00061560260081	lambda: 0.00102542870075,0.00013903310200_mu: 0.00062652279599,0.00000000000504
71	-143839.481852	-143673.479219	166.002633	lambda: 0.00099975906010_mu: 0.00061144042763	lambda: 0.00100972369952,0.00021600385809_mu: 0.00062062919129,0.00000000000022
72	-143604.116284	-143454.560286	149.555998	lambda: 0.00101575044242_mu: 0.00060852160126	lambda: 0.00101980752583,0.00002547758858_mu: 0.00058564950828,0.00000000000003
73	-143825.650691	-143648.248325	177.40236599999	lambda: 0.00101901734057_mu: 0.00061777220625	lambda: 0.00103002775070,0.00017400612529_mu: 0.00062813740232,0.00000000000044
74	-143746.230975	-143573.095675	173.13530000002	lambda: 0.00101589770528_mu: 0.00061343837746	lambda: 0.00102817859826,0.00014036873950_mu: 0.00062740578782,0.00000000000001
75	-143768.331687	-143587.104303	181.227384	lambda: 0.00100550919917_mu: 0.00061827674019	lambda: 0.00101745964404,0.00013068815797_mu: 0.00062823348462,0.00000000000836
76	-143480.884712	-143311.750011	169.134701	lambda: 0.00100657984621_mu: 0.00061867991689	lambda: 0.00101991786577,0.00010125746547_mu: 0.00062651605495,0.00001050989455
77	-143371.717174	-143196.699536	175.01763799999	lambda: 0.00101373609114_mu: 0.00061329216092	lambda: 0.00102308628798,0.00016954497701_mu: 0.00062473786366,0.00000000000153
78	-143438.420392	-143240.027146	198.39324599999	lambda: 0.00100327417731_mu: 0.00061305992650	lambda: 0.00101632437301,0.00008734470949_mu: 0.00062348980031,0.00000000067078
79	-143673.220453	-143499.005107	174.21534599998	lambda: 0.00101285043864_mu: 0.00060824647732	lambda: 0.00103968748325,0.00000000179567_mu: 0.00060797643569,0.00000068407907
80	-144013.172205	-143802.700275	210.47193	lambda: 0.00100140833408_mu: 0.00062098994158	lambda: 0.00101538936408,0.00003112110229_mu: 0.00063175594175,0.00000000000123
81	-144119.905446	-144265.811649	-145.90620300002	lambda: 0.00101017862404_mu: 0.00062571190827	lambda: 0.00098900780127,0.00194145015600_mu: 0.00063417288815,0.00000000000011
82	-143611.405982	-143431.891328	179.514654	lambda: 0.00101422243371_mu: 0.00061185095516	lambda: 0.00102950486834,0.00013205420651_mu: 0.00062218283903,0.00000000000056
83	-143445.351780	-143270.036349	175.315431	lambda: 0.00100166965095_mu: 0.00061534756319	lambda: 0.00101356644061,0.00010705679940_mu: 0.00062546650774,0.00000191634604
84	-143225.485829	-143170.656872	54.82895700002	lambda: 0.00100711497756_mu: 0.00060787637541	lambda: 0.00103522974686,0.00110950543563_mu: 0.00061802587761,0.00000000000089
85	-162272.189397	-143888.422818	18383.766579	lambda: 0.00000742070911_mu: 0.00122053740105	lambda: 0.00103402379516,0.00000000000002_mu: 0.00062256832140,0.00011853358085
86	-143474.462076	-143289.970441	184.49163499998	lambda: 0.00101594038948_mu: 0.00060567426130	lambda: 0.00102405663689,0.00016821402826_mu: 0.00061489463864,0.00000000000059
87	-144136.692410	-143960.271777	176.420633	lambda: 0.00101177012298_mu: 0.00060512261081	lambda: 0.00102321776689,0.00015156282053_mu: 0.00061499803152,0.00000000000776
88	-143212.187507	-143010.833117	201.35438999999	lambda: 0.00100135827567_mu: 0.00059944981833	lambda: 0.00101443341700,0.00004654928340_mu: 0.00060855198139,0.00000000000262
89	-143051.976496	-142863.967825	188.00867099999	lambda: 0.00101311285712_mu: 0.00061356227462	lambda: 0.00102394019499,0.00010818449912_mu: 0.00062386371868,0.00000118135614
90	-143803.269636	-143631.962570	171.30706600001	lambda: 0.00101058646422_mu: 0.00060321845383	lambda: 0.00102147456890,0.00014779348317_mu: 0.00061314861848,0.00000000000166
91	-143025.825322	-142852.044858	173.78046399998	lambda: 0.00099417926018_mu: 0.00061083105302	lambda: 0.00100489778792,0.00018483382877_mu: 0.00062135150257,0.00000000000202
92	-144425.209070	-144225.623108	199.58596200001	lambda: 0.00100704879993_mu: 0.00062077169488	lambda: 0.00102417094863,0.00009184507424_mu: 0.00063401744881,0.00000000046597
93	-143445.615984	-143265.062135	180.55384900002	lambda: 0.00100870992731_mu: 0.00061319246273	lambda: 0.00102237877942,0.00010164236160_mu: 0.00062286346157,0.00000000000026
94	-144501.962044	-144555.411366	-53.449321999971	lambda: 0.00101280757487_mu: 0.00061287455308	lambda: 0.00102204323178,0.00157698112824_mu: 0.00062173189872,0.00000000000003
95	-144228.050504	-144052.246958	175.80354600001	lambda: 0.00101943904457_mu: 0.00062514140404	lambda: 0.00103277159083,0.00012508101377_mu: 0.00063359726614,0.00000000000600
96	-144052.618972	-143880.202928	172.41604399998	lambda: 0.00101204329633_mu: 0.00060702501991	lambda: 0.00102673561758,0.00024297661022_mu: 0.00061413037259,0.00000000000116
97	-143225.817346	-143040.774106	185.04324	lambda: 0.00100740992199_mu: 0.00061068027383	lambda: 0.00101920364626,0.00011212967074_mu: 0.00062045471879,0.00000000000087
98	-143486.351009	-143301.407504	184.943505	lambda: 0.00100558806543_mu: 0.00060702121627	lambda: 0.00101712360357,0.00012116872207_mu: 0.00061703249974,0.00000000000106
99	-143345.153586	-143171.367598	173.78598799999	lambda: 0.00101183739067_mu: 0.00060850615862	lambda: 0.00102563061085,0.00008034367744_mu: 0.00061797645450,0.00000000000718
100	-144320.581256	-144143.710433	176.870823	lambda: 0.00100613740700_mu: 0.00061317285021	lambda: 0.00101766121290,0.00013491990500_mu: 0.00062290256122,0.00000000000150
101	-143962.111508	-144956.009113	-993.89760500001	lambda: 0.00099903742382_mu: 0.00062489150320	lambda: 0.00116157059792,0.00000409117313_mu: 0.00036883676060,0.00000000000000
102	-143665.419028	-143470.630495	194.78853300001	lambda: 0.00100080368188_mu: 0.00061919638742	lambda: 0.00101245225332,0.00008154206424_mu: 0.00062988964165,0.00000000015543
103	-143559.011256	-143381.832514	177.17874199999	lambda: 0.00100116029483_mu: 0.00061904994812	lambda: 0.00096857088492,0.00023855019764_mu: 0.00065944734293,0.00000000000002
104	-143602.822372	-143432.759515	170.06285699998	lambda: 0.00101955960151_mu: 0.00061354271793	lambda: 0.00102361194907,0.00020478922831_mu: 0.00061425698556,0.00000000116899
105	-143353.974048	-143168.830427	185.143621	lambda: 0.00101431041325_mu: 0.00061928659819	lambda: 0.00099077114376,0.00014674473274_mu: 0.00064100535418,0.00000000000001
106	-143300.001988	-143096.762823	203.23916500001	lambda: 0.00101098382727_mu: 0.00060549304257	lambda: 0.00102293473378,0.00008326081634_mu: 0.00061295907356,0.00000000000598
107	-143221.160759	-143062.149781	159.01097800001	lambda: 0.00100450788805_mu: 0.00060679206628	lambda: 0.00101712017925,0.00018160084612_mu: 0.00061571968543,0.00000000922550
108	-144326.561835	-144147.751784	178.81005100001	lambda: 0.00101458983651_mu: 0.00061520539682	lambda: 0.00102633156281,0.00013984365360_mu: 0.00062581662637,0.00000000005504
109	-144167.725443	-143986.321871	181.40357200001	lambda: 0.00100980163868_mu: 0.00063111017711	lambda: 0.00101269496784,0.00011403964681_mu: 0.00065220310234,0.00000044381006
110	-143606.583799	-143422.269074	184.314725	lambda: 0.00100301110516_mu: 0.00062047468556	lambda: 0.00101421342588,0.00014473804248_mu: 0.00063038475805,0.00000000000312
111	-143466.600685	-143303.731330	162.869355	lambda: 0.00100732799624_mu: 0.00060131892847	lambda: 0.00101674481713,0.00021553404190_mu: 0.00061181244381,0.00000000000048
112	-143576.939794	-143369.743941	207.19585300001	lambda: 0.00100564304369_mu: 0.00060890977343	lambda: 0.00101497997928,0.00007732137377_mu: 0.00061797630493,0.00000000000335
113	-143722.622071	-143609.934278	112.68779299999	lambda: 0.00100807826635_mu: 0.00061914038396	lambda: 0.00102072396218,0.00082066976005_mu: 0.00062501527017,0.00000014870227
114	-143159.951429	-142987.758514	172.19291500002	lambda: 0.00100526857726_mu: 0.00062002769839	lambda: 0.00101570117854,0.00014425482573_mu: 0.00063048062506,0.00000000000081
115	-143409.923063	-143502.527200	-92.604137000017	lambda: 0.00099480234000_mu: 0.00061009240819	lambda: 0.00094952070332,0.00142410990409_mu: 0.00065623603910,0.00054813054651
116	-143716.688586	-143516.706300	199.98228600001	lambda: 0.00099661220404_mu: 0.00061390729989	lambda: 0.00100860724460,0.00006241662580_mu: 0.00062369926802,0.00000000000055
117	-144671.690932	-144492.472588	179.21834399999	lambda: 0.00102083835518_mu: 0.00061616897588	lambda: 0.00103326511559,0.00016003712470_mu: 0.00062602609776,0.00000000024080
118	-143320.552912	-143147.555946	172.99696600001	lambda: 0.00101553879247_mu: 0.00061125548612	lambda: 0.00102702856389,0.00014478664399_mu: 0.00062121579570,0.00000002934585
119	-143193.579482	-142989.759389	203.82009299999	lambda: 0.00100421854541_mu: 0.00061161075590	lambda: 0.00101304569523,0.00002820711413_mu: 0.00062619805145,0.00000000000022
120	-143735.487237	-145159.391225	-1423.903988	lambda: 0.00100652089937_mu: 0.00060864502675	lambda: 0.00099920215624,0.00000005279156_mu: 0.00048800304019,0.00499921907275
121	-143062.359038	-142892.439075	169.91996299999	lambda: 0.00100248025862_mu: 0.00060680876092	lambda: 0.00097166405202,0.00012769137755_mu: 0.00063559758634,0.00000000000192
122	-144374.208757	-144218.989381	155.21937599999	lambda: 0.00101890584436_mu: 0.00060697322984	lambda: 0.00102902797690,0.00021897796203_mu: 0.00061710287779,0.00000000000809
123	-143481.778980	-143264.551276	217.22770399999	lambda: 0.00101449099989_mu: 0.00061538606558	lambda: 0.00102677588306,0.00006238599546_mu: 0.00062636772241,0.00000000000064
124	-143821.729655	-144819.723825	-997.99416999999	lambda: 0.00100822577062_mu: 0.00060630252454	lambda: 0.00123577840705,0.00049743813689_mu: 0.00037920268915,0.00000000000004
125	-143431.554120	-143242.962934	188.59118599998	lambda: 0.00101429097180_mu: 0.00061216729236	lambda: 0.00102668353202,0.00011392409591_mu: 0.00062274158872,0.00000000000064
126	-143223.952534	-143018.345391	205.607143	lambda: 0.00099566600965_mu: 0.00061616353871	lambda: 0.00101247775864,0.00008617035477_mu: 0.00062899408551,0.00000000147017
127	-143317.832753	-150716.345011	-7398.512258	lambda: 0.00101166323444_mu: 0.00061504149042	lambda: 0.00035337571105,0.00000000000001_mu: 0.00078926471559,0.00979900449393
128	-143158.771743	-142976.895896	181.87584699999	lambda: 0.00101481020188_mu: 0.00060193707667	lambda: 0.00101778256529,0.00026025529586_mu: 0.00060978875268,0.00000000000002
129	-143280.825828	-143100.023241	180.80258700001	lambda: 0.00100732305341_mu: 0.00061461369228	lambda: 0.00100727657489,0.00017765090909_mu: 0.00062623562949,0.00000000000687
130	-142631.820320	-142506.807902	125.012418	lambda: 0.00100303851574_mu: 0.00060540096830	lambda: 0.00102216279132,0.00068219320452_mu: 0.00061132922009,0.00000000080907
131	-143396.069911	-143202.702224	193.36768699999	lambda: 0.00100733622817_mu: 0.00062028380603	lambda: 0.00101811111407,0.00012317589511_mu: 0.00063097646065,0.00000000000331
132	-143524.906065	-143315.018770	209.88729499999	lambda: 0.00100294860869_mu: 0.00060810117217	lambda: 0.00101400182391,0.00005771586956_mu: 0.00061914614822,0.00000000000162
133	-142932.882262	-142741.080381	191.80188099999	lambda: 0.00100236392114_mu: 0.00060692863795	lambda: 0.00101336491118,0.00010806411617_mu: 0.00061711246960,0.00000243490915
134	-142841.074410	-142638.541027	202.533383	lambda: 0.00099322277463_mu: 0.00061993180392	lambda: 0.00100632625117,0.00002481086427_mu: 0.00063151624605,0.00000000000036
135	-144019.907762	-143896.524749	123.38301299998	lambda: 0.00100440211532_mu: 0.00061054824261	lambda: 0.00103160511999,0.00066141415325_mu: 0.00061164509765,0.00000000000002
136	-143588.648254	-143429.566532	159.081722	lambda: 0.00101350625687_mu: 0.00060937808919	lambda: 0.00102249947508,0.00046557328874_mu: 0.00061845240752,0.00000000000020
137	-143598.933917	-143426.269676	172.66424099999	lambda: 0.00101544808865_mu: 0.00060506096416	lambda: 0.00102671947176,0.00016888227126_mu: 0.00061496541010,0.00000000000137
138	-143110.092745	-143029.812496	80.280249000003	lambda: 0.00099617701405_mu: 0.00061472086511	lambda: 0.00099706227419,0.00092767823520_mu: 0.00062547408508,0.00000000048799
139	-143098.165946	-142905.235880	192.930066	lambda: 0.00100578242262_mu: 0.00060386409886	lambda: 0.00102439518692,0.00015753443297_mu: 0.00060211947508,0.00000000004990
140	-143342.944233	-143171.736571	171.207662	lambda: 0.00101246972484_mu: 0.00060640548297	lambda: 0.00102364381154,0.00015457481526_mu: 0.00061652196084,0.00000000000402
141	-143367.779976	-143202.274331	165.505645	lambda: 0.00100634876479_mu: 0.00060914630627	lambda: 0.00101743158399,0.00014817188934_mu: 0.00061873201867,0.00000000000427
142	-143710.121457	-143534.882679	175.238778	lambda: 0.00100010807874_mu: 0.00061676103835	lambda: 0.00101144067284,0.00018889265507_mu: 0.00062719037580,0.00000000000249
143	-143945.123532	-143835.131132	109.99239999999	lambda: 0.00101351546785_mu: 0.00061731986657	lambda: 0.00102395675796,0.00087701753957_mu: 0.00062533636470,0.00000000000318
144	-142990.832946	-142800.056860	190.776086	lambda: 0.00101497236730_mu: 0.00060582478048	lambda: 0.00102599983171,0.00010399392099_mu: 0.00061614574725,0.00000000000578
145	-143282.749179	-143097.214961	185.53421800002	lambda: 0.00101552934139_mu: 0.00061057381360	lambda: 0.00103267268795,0.00014198078304_mu: 0.00062564891376,0.00000000000234
146	-143405.073822	-143201.176307	203.89751500002	lambda: 0.00100948503220_mu: 0.00060567657468	lambda: 0.00103018491701,0.00016727296082_mu: 0.00062487445238,0.00000000000054
147	-143360.987159	-143186.442937	174.544222	lambda: 0.00101189715679_mu: 0.00061542316995	lambda: 0.00102491931913,0.00011145867377_mu: 0.00062453304105,0.00000000000002
148	-161568.459664	-143318.156062	18250.303602	lambda: 0.00000742764172_mu: 0.00122071973137	lambda: 0.00102936239821,0.00014792282546_mu: 0.00062001050159,0.00000001273370
149	-143208.092808	-143035.498745	172.594063	lambda: 0.00100762389610_mu: 0.00061812992212	lambda: 0.00101805448319,0.00013512865515_mu: 0.00063034543670,0.00001995584858
150	-142729.365213	-142554.488980	174.87623300002	lambda: 0.00100835902352_mu: 0.00060580213419	lambda: 0.00101854633952,0.00019415517821_mu: 0.00061625600450,0.00000002779685
151	-144238.775819	-144046.652466	192.123353	lambda: 0.00100770594000_mu: 0.00061378846252	lambda: 0.00101869019961,0.00011206114995_mu: 0.00062437596003,0.00000000000102
152	-143702.995825	-143534.435889	168.55993600001	lambda: 0.00100037693324_mu: 0.00060630361139	lambda: 0.00101238451351,0.00013413801007_mu: 0.00061560983663,0.00000000000145
153	-143362.692535	-143178.282109	184.41042600002	lambda: 0.00099800740442_mu: 0.00061132381691	lambda: 0.00100912296585,0.00013075311891_mu: 0.00062225040981,0.00000000000140
154	-143466.575445	-144874.435174	-1407.859729	lambda: 0.00099833496837_mu: 0.00060665544339	lambda: 0.00191415412695,0.00137044479739_mu: 0.00048498629573,0.00000000000006
155	-143837.763495	-143668.043720	169.71977500001	lambda: 0.00101207850418_mu: 0.00061092745763	lambda: 0.00102388478656,0.00015978173812_mu: 0.00062049966590,0.00000000029076
156	-144431.315243	-144266.135725	165.17951799999	lambda: 0.00100655027653_mu: 0.00061582142862	lambda: 0.00101591827484,0.00037488894866_mu: 0.00062468235516,0.00000000000172
