#Internal ID	GEO accession	Strain	Age_weeks	Organ	SRA					
JM75_1	GSE52462	MZM-0410	20	brain	SRR1030827
JM79_1	GSE52462	MZM-0410	20	brain	SRR1030828
JM82_1	GSE52462	MZM-0410	20	brain	SRR1030829
JM84_1	GSE52462	MZM-0410	20	brain	SRR1030830
JM86_1	GSE52462	MZM-0410	20	brain	SRR1030831
JM75_3	GSE66712	MZM-0410	20	liver	SRR1873330
JM79_3	GSE66712	MZM-0410	20	liver	SRR1873331
JM82_3	GSE66712	MZM-0410	20	liver	SRR1873332
JM84_3	GSE66712	MZM-0410	20	liver	SRR1873333
JM85_3	GSE66712	MZM-0410	20	liver	SRR1873334
JM79_5	GSE66712	MZM-0410	20	skin	SRR1873355
JM84_5	GSE66712	MZM-0410	20	skin	SRR1873356
JM87_5	GSE66712	MZM-0410	20	skin	SRR1873357
JM88_5	GSE66712	MZM-0410	20	skin	SRR1873358
JM91_5	GSE66712	MZM-0410	20	skin	SRR1873359
JM52_1	GSE52462	MZM-0410	27	brain	SRR1030832
JM62_1	GSE52462	MZM-0410	27	brain	SRR1030833
JM66_1	GSE52462	MZM-0410	27	brain	SRR1030834
JM69_1	GSE52462	MZM-0410	27	brain	SRR1030835
JM72_1	GSE52462	MZM-0410	27	brain	SRR1030836
JM61_3	GSE66712	MZM-0410	27	liver	SRR1873335
JM69_3	GSE66712	MZM-0410	27	liver	SRR1873336
JM72_3	GSE66712	MZM-0410	27	liver	SRR1873337
JM74_3	GSE66712	MZM-0410	27	liver	SRR1873338
JM83_3	GSE66712	MZM-0410	27	liver	SRR1873339
JM55_5	GSE66712	MZM-0410	27	skin	SRR1873360
JM62_5	GSE66712	MZM-0410	27	skin	SRR1873361
JM72_5	GSE66712	MZM-0410	27	skin	SRR1873362
JM74_5	GSE66712	MZM-0410	27	skin	SRR1873363
JM83_5	GSE66712	MZM-0410	27	skin	SRR1873364
JM1_1	GSE52462	MZM-0410	39	brain	SRR1030837
JM12_1	GSE52462	MZM-0410	39	brain	SRR1030838
JM13_1	GSE52462	MZM-0410	39	brain	SRR1030839
JM15_1	GSE52462	MZM-0410	39	brain	SRR1030840
JM18_1	GSE52462	MZM-0410	39	brain	SRR1030841
JM24_1	GSE72584	MZM-0410	39	brain	SRR2225623
JM38_1	GSE72584	MZM-0410	39	brain	SRR2225624
JM41_1	GSE72584	MZM-0410	39	brain	SRR2225626
JM46_1	GSE72584	MZM-0410	39	brain	SRR2225628
JM6_1	GSE72584	MZM-0410	39	brain	SRR2225630
JM8_1	GSE72584	MZM-0410	39	brain	SRR2225632
JM1_3	GSE66712	MZM-0410	39	liver	SRR1873340
JM12_3	GSE66712	MZM-0410	39	liver	SRR1873341
JM13_3	GSE66712	MZM-0410	39	liver	SRR1873342
JM15_3	GSE66712	MZM-0410	39	liver	SRR1873343
JM18_3	GSE66712	MZM-0410	39	liver	SRR1873344
JM1_5	GSE66712	MZM-0410	39	skin	SRR1873365
JM13_5	GSE66712	MZM-0410	39	skin	SRR1873366
JM15_5	GSE66712	MZM-0410	39	skin	SRR1873367
JM18_5	GSE66712	MZM-0410	39	skin	SRR1873368
JM24_5	GSE66712	MZM-0410	39	skin	SRR1873369
JM12_5	GSE72584	MZM-0410	39	skin	SRR2225622
JM38_5	GSE72584	MZM-0410	39	skin	SRR2225625
JM41_5	GSE72584	MZM-0410	39	skin	SRR2225627
JM46_5	GSE72584	MZM-0410	39	skin	SRR2225629
JM6_5	GSE72584	MZM-0410	39	skin	SRR2225631
JM8_5	GSE72584	MZM-0410	39	skin	SRR2225633
