Protein stable ID	Human gene stable ID
ENSGACP00000000112	ENSG00000106392
ENSGACP00000000113	ENSG00000196636
ENSGACP00000000114	ENSG00000006128
ENSGACP00000000117	ENSG00000070669
ENSGACP00000000116	
ENSGACP00000000121	ENSG00000204231
ENSGACP00000000123	ENSG00000204231
ENSGACP00000000124	ENSG00000204231
ENSGACP00000000120	
ENSGACP00000000125	
ENSGACP00000000126	ENSG00000204248
ENSGACP00000000127	ENSG00000157214
ENSGACP00000000128	ENSG00000116106
ENSGACP00000000129	ENSG00000172680
ENSGACP00000000131	ENSG00000204256
ENSGACP00000000133	ENSG00000204256
ENSGACP00000000130	ENSG00000170791
ENSGACP00000000134	ENSG00000136002
ENSGACP00000000136	ENSG00000136002
ENSGACP00000000132	
ENSGACP00000000135	ENSG00000240065
ENSGACP00000000137	ENSG00000240065
ENSGACP00000000139	ENSG00000099260
ENSGACP00000000138	ENSG00000188886
ENSGACP00000000140	
ENSGACP00000000149	ENSG00000107611
ENSGACP00000000141	
ENSGACP00000000146	ENSG00000204264
ENSGACP00000000142	ENSG00000133454
ENSGACP00000000143	ENSG00000133454
ENSGACP00000000144	
ENSGACP00000000145	
ENSGACP00000000147	
ENSGACP00000000148	ENSG00000160862
ENSGACP00000000148	ENSG00000204520
ENSGACP00000000148	ENSG00000104870
ENSGACP00000000148	ENSG00000204516
ENSGACP00000000148	ENSG00000010704
ENSGACP00000000150	ENSG00000231925
ENSGACP00000000152	ENSG00000204264
ENSGACP00000000151	
ENSGACP00000000154	
ENSGACP00000000157	
ENSGACP00000000153	ENSG00000100097
ENSGACP00000000155	
ENSGACP00000000156	
ENSGACP00000000159	
ENSGACP00000000160	
ENSGACP00000000161	
ENSGACP00000000162	
ENSGACP00000000163	
ENSGACP00000000164	
ENSGACP00000000158	ENSG00000100226
ENSGACP00000000165	ENSG00000160862
ENSGACP00000000165	ENSG00000204520
ENSGACP00000000165	ENSG00000104870
ENSGACP00000000165	ENSG00000204516
ENSGACP00000000165	ENSG00000010704
ENSGACP00000000166	ENSG00000231925
ENSGACP00000000167	
ENSGACP00000000168	ENSG00000204264
ENSGACP00000000169	ENSG00000250264
ENSGACP00000000169	ENSG00000204267
ENSGACP00000000170	ENSG00000240065
ENSGACP00000000171	
ENSGACP00000000172	
ENSGACP00000000173	
ENSGACP00000000174	
ENSGACP00000000175	ENSG00000204264
ENSGACP00000000176	ENSG00000231925
ENSGACP00000000178	ENSG00000250264
ENSGACP00000000178	ENSG00000204267
ENSGACP00000000177	
ENSGACP00000000179	
ENSGACP00000000180	ENSG00000240065
ENSGACP00000000181	
ENSGACP00000000182	
ENSGACP00000000183	ENSG00000204264
ENSGACP00000000184	ENSG00000160862
ENSGACP00000000184	ENSG00000204520
ENSGACP00000000184	ENSG00000104870
ENSGACP00000000184	ENSG00000204516
ENSGACP00000000184	ENSG00000010704
ENSGACP00000000185	ENSG00000160862
ENSGACP00000000185	ENSG00000204520
ENSGACP00000000185	ENSG00000104870
ENSGACP00000000185	ENSG00000204516
ENSGACP00000000185	ENSG00000010704
ENSGACP00000000186	ENSG00000160862
ENSGACP00000000186	ENSG00000204520
ENSGACP00000000186	ENSG00000104870
ENSGACP00000000186	ENSG00000204516
ENSGACP00000000186	ENSG00000010704
ENSGACP00000000187	ENSG00000250264
ENSGACP00000000187	ENSG00000204267
ENSGACP00000000188	ENSG00000240065
ENSGACP00000000189	
ENSGACP00000000190	
ENSGACP00000000191	ENSG00000204264
ENSGACP00000000192	ENSG00000240065
ENSGACP00000000193	
ENSGACP00000000194	
ENSGACP00000000195	
ENSGACP00000000196	ENSG00000204264
ENSGACP00000000197	ENSG00000160862
ENSGACP00000000197	ENSG00000204520
ENSGACP00000000197	ENSG00000104870
ENSGACP00000000197	ENSG00000204516
ENSGACP00000000197	ENSG00000010704
ENSGACP00000000198	ENSG00000160862
ENSGACP00000000198	ENSG00000204520
ENSGACP00000000198	ENSG00000104870
ENSGACP00000000198	ENSG00000204516
ENSGACP00000000198	ENSG00000010704
ENSGACP00000000199	ENSG00000160862
ENSGACP00000000199	ENSG00000204520
ENSGACP00000000199	ENSG00000104870
ENSGACP00000000199	ENSG00000204516
ENSGACP00000000199	ENSG00000010704
ENSGACP00000000200	ENSG00000160862
ENSGACP00000000200	ENSG00000204520
ENSGACP00000000200	ENSG00000104870
ENSGACP00000000200	ENSG00000204516
ENSGACP00000000200	ENSG00000010704
ENSGACP00000000201	ENSG00000160862
ENSGACP00000000201	ENSG00000204520
ENSGACP00000000201	ENSG00000104870
ENSGACP00000000201	ENSG00000204516
ENSGACP00000000201	ENSG00000010704
ENSGACP00000000202	ENSG00000231925
ENSGACP00000000203	
ENSGACP00000000204	
ENSGACP00000000205	ENSG00000125730
ENSGACP00000000206	ENSG00000125730
ENSGACP00000000207	
ENSGACP00000000208	
ENSGACP00000000209	
ENSGACP00000000210	
ENSGACP00000000211	
ENSGACP00000000212	
ENSGACP00000000213	ENSG00000119862
ENSGACP00000000214	
ENSGACP00000000215	
ENSGACP00000000216	ENSG00000198369
ENSGACP00000000217	ENSG00000198369
ENSGACP00000000218	ENSG00000113621
ENSGACP00000000219	ENSG00000181904
ENSGACP00000000221	ENSG00000164615
ENSGACP00000000222	
ENSGACP00000000223	
ENSGACP00000000224	
ENSGACP00000000225	ENSG00000100084
ENSGACP00000000226	
ENSGACP00000000227	
ENSGACP00000000228	
ENSGACP00000000229	
ENSGACP00000000230	ENSG00000015592
ENSGACP00000000232	ENSG00000138675
ENSGACP00000000233	
ENSGACP00000000234	
ENSGACP00000000235	
ENSGACP00000000236	
ENSGACP00000000237	ENSG00000134748
ENSGACP00000000238	ENSG00000119922
ENSGACP00000000238	ENSG00000152778
ENSGACP00000000238	ENSG00000185745
ENSGACP00000000238	ENSG00000204010
ENSGACP00000000238	ENSG00000119917
ENSGACP00000000239	
ENSGACP00000000240	ENSG00000143318
ENSGACP00000000241	ENSG00000126226
ENSGACP00000000242	
ENSGACP00000000243	
ENSGACP00000000244	
ENSGACP00000000245	
ENSGACP00000000246	
ENSGACP00000000247	
ENSGACP00000000248	
ENSGACP00000000250	
ENSGACP00000000249	
ENSGACP00000000251	
ENSGACP00000000254	ENSG00000171385
ENSGACP00000000252	ENSG00000104915
ENSGACP00000000253	ENSG00000196917
ENSGACP00000000253	ENSG00000182782
ENSGACP00000000253	ENSG00000255398
ENSGACP00000000258	ENSG00000071553
ENSGACP00000000262	ENSG00000071553
ENSGACP00000000255	
ENSGACP00000000256	
ENSGACP00000000257	
ENSGACP00000000259	
ENSGACP00000000260	
ENSGACP00000000261	
ENSGACP00000000264	ENSG00000102125
ENSGACP00000000263	ENSG00000084674
ENSGACP00000000266	ENSG00000114859
ENSGACP00000000267	ENSG00000114859
ENSGACP00000000265	ENSG00000149418
ENSGACP00000000269	
ENSGACP00000000272	
ENSGACP00000000273	ENSG00000114867
ENSGACP00000000268	
ENSGACP00000000270	
ENSGACP00000000271	
ENSGACP00000000274	ENSG00000140009
ENSGACP00000000277	ENSG00000163297
ENSGACP00000000276	
ENSGACP00000000278	
ENSGACP00000000280	ENSG00000144029
ENSGACP00000000281	
ENSGACP00000000282	
ENSGACP00000000283	
ENSGACP00000000289	ENSG00000135919
ENSGACP00000000284	
ENSGACP00000000286	
ENSGACP00000000285	
ENSGACP00000000287	
ENSGACP00000000288	
ENSGACP00000000290	ENSG00000124783
ENSGACP00000000293	ENSG00000085449
ENSGACP00000000291	ENSG00000160877
ENSGACP00000000292	ENSG00000104907
ENSGACP00000000296	ENSG00000269590
ENSGACP00000000296	ENSG00000269242
ENSGACP00000000296	ENSG00000104774
ENSGACP00000000294	
ENSGACP00000000303	
ENSGACP00000000307	
ENSGACP00000000295	ENSG00000105953
ENSGACP00000000297	ENSG00000100060
ENSGACP00000000298	ENSG00000196562
ENSGACP00000000299	ENSG00000196562
ENSGACP00000000300	ENSG00000196562
ENSGACP00000000302	
ENSGACP00000000309	ENSG00000211460
ENSGACP00000000311	ENSG00000211460
ENSGACP00000000301	ENSG00000147443
ENSGACP00000000304	ENSG00000176884
ENSGACP00000000305	ENSG00000008513
ENSGACP00000000314	
ENSGACP00000000306	ENSG00000008513
ENSGACP00000000308	ENSG00000008513
ENSGACP00000000310	ENSG00000152056
ENSGACP00000000313	ENSG00000152056
ENSGACP00000000312	
ENSGACP00000000316	ENSG00000253309
ENSGACP00000000320	ENSG00000119946
ENSGACP00000000318	ENSG00000171951
ENSGACP00000000315	
ENSGACP00000000317	
ENSGACP00000000321	
ENSGACP00000000322	ENSG00000102786
ENSGACP00000000319	ENSG00000152049
ENSGACP00000000329	ENSG00000123983
ENSGACP00000000358	ENSG00000120053
ENSGACP00000000360	ENSG00000120053
ENSGACP00000000368	ENSG00000120053
ENSGACP00000000370	ENSG00000120053
ENSGACP00000000382	ENSG00000120053
ENSGACP00000000323	ENSG00000139668
ENSGACP00000000324	
ENSGACP00000000326	ENSG00000102796
ENSGACP00000000325	ENSG00000269891
ENSGACP00000000325	ENSG00000213390
ENSGACP00000000327	
ENSGACP00000000330	ENSG00000138448
ENSGACP00000000336	ENSG00000116120
ENSGACP00000000340	ENSG00000116120
ENSGACP00000000333	ENSG00000068400
ENSGACP00000000331	ENSG00000101986
ENSGACP00000000332	
ENSGACP00000000337	ENSG00000185621
ENSGACP00000000334	
ENSGACP00000000338	ENSG00000149418
ENSGACP00000000335	
ENSGACP00000000339	ENSG00000281883
ENSGACP00000000339	ENSG00000179630
ENSGACP00000000341	ENSG00000281883
ENSGACP00000000341	ENSG00000179630
ENSGACP00000000343	ENSG00000143851
ENSGACP00000000342	ENSG00000120658
ENSGACP00000000344	
ENSGACP00000000346	ENSG00000143862
ENSGACP00000000362	ENSG00000155657
ENSGACP00000000345	
ENSGACP00000000347	
ENSGACP00000000350	ENSG00000124783
ENSGACP00000000351	ENSG00000124783
ENSGACP00000000348	ENSG00000170075
ENSGACP00000000349	ENSG00000270882
ENSGACP00000000352	ENSG00000130827
ENSGACP00000000357	ENSG00000185825
ENSGACP00000000353	
ENSGACP00000000354	
ENSGACP00000000355	
ENSGACP00000000356	
ENSGACP00000000359	
ENSGACP00000000361	ENSG00000102100
ENSGACP00000000363	ENSG00000102100
ENSGACP00000000366	ENSG00000102100
ENSGACP00000000364	
ENSGACP00000000365	
ENSGACP00000000367	ENSG00000101901
ENSGACP00000000367	ENSG00000164164
ENSGACP00000000369	ENSG00000175894
ENSGACP00000000371	ENSG00000102225
ENSGACP00000000372	ENSG00000102225
ENSGACP00000000374	ENSG00000184787
ENSGACP00000000373	
ENSGACP00000000375	ENSG00000108384
ENSGACP00000000378	ENSG00000065534
ENSGACP00000000376	ENSG00000146109
ENSGACP00000000377	
ENSGACP00000000379	ENSG00000113262
ENSGACP00000000381	ENSG00000113262
ENSGACP00000000380	
ENSGACP00000000383	ENSG00000204217
ENSGACP00000000384	
ENSGACP00000000385	ENSG00000143341
ENSGACP00000000388	ENSG00000163485
ENSGACP00000000387	
ENSGACP00000000386	
ENSGACP00000000391	ENSG00000121964
ENSGACP00000000389	
ENSGACP00000000390	ENSG00000107796
ENSGACP00000000390	ENSG00000163017
ENSGACP00000000393	ENSG00000163938
ENSGACP00000000392	
ENSGACP00000000396	ENSG00000135999
ENSGACP00000000400	ENSG00000135999
ENSGACP00000000395	ENSG00000016864
ENSGACP00000000398	ENSG00000114902
ENSGACP00000000401	ENSG00000198515
ENSGACP00000000399	
ENSGACP00000000402	ENSG00000114904
ENSGACP00000000403	ENSG00000114904
ENSGACP00000000405	ENSG00000168280
ENSGACP00000000404	ENSG00000239779
ENSGACP00000000410	ENSG00000134072
ENSGACP00000000407	
ENSGACP00000000413	ENSG00000100154
ENSGACP00000000418	ENSG00000100154
ENSGACP00000000419	ENSG00000100154
ENSGACP00000000406	
ENSGACP00000000409	
ENSGACP00000000408	
ENSGACP00000000411	ENSG00000135625
ENSGACP00000000441	
ENSGACP00000000446	
ENSGACP00000000412	
ENSGACP00000000414	ENSG00000182327
ENSGACP00000000415	ENSG00000049245
ENSGACP00000000416	ENSG00000049245
ENSGACP00000000421	ENSG00000204257
ENSGACP00000000417	ENSG00000162576
ENSGACP00000000426	ENSG00000143106
ENSGACP00000000420	ENSG00000173801
ENSGACP00000000424	ENSG00000111300
ENSGACP00000000422	
ENSGACP00000000425	ENSG00000196126
ENSGACP00000000425	ENSG00000179344
ENSGACP00000000425	ENSG00000223865
ENSGACP00000000425	ENSG00000198502
ENSGACP00000000425	ENSG00000241106
ENSGACP00000000425	ENSG00000248993
ENSGACP00000000425	ENSG00000232629
ENSGACP00000000425	ENSG00000242574
ENSGACP00000000430	ENSG00000196126
ENSGACP00000000430	ENSG00000179344
ENSGACP00000000430	ENSG00000223865
ENSGACP00000000430	ENSG00000198502
ENSGACP00000000430	ENSG00000241106
ENSGACP00000000430	ENSG00000248993
ENSGACP00000000430	ENSG00000232629
ENSGACP00000000430	ENSG00000242574
ENSGACP00000000431	ENSG00000196126
ENSGACP00000000431	ENSG00000179344
ENSGACP00000000431	ENSG00000223865
ENSGACP00000000431	ENSG00000198502
ENSGACP00000000431	ENSG00000241106
ENSGACP00000000431	ENSG00000248993
ENSGACP00000000431	ENSG00000232629
ENSGACP00000000431	ENSG00000242574
ENSGACP00000000432	ENSG00000196126
ENSGACP00000000432	ENSG00000179344
ENSGACP00000000432	ENSG00000223865
ENSGACP00000000432	ENSG00000198502
ENSGACP00000000432	ENSG00000241106
ENSGACP00000000432	ENSG00000248993
ENSGACP00000000432	ENSG00000232629
ENSGACP00000000432	ENSG00000242574
ENSGACP00000000423	
ENSGACP00000000427	ENSG00000089234
ENSGACP00000000428	
ENSGACP00000000436	ENSG00000134243
ENSGACP00000000429	ENSG00000198113
ENSGACP00000000444	ENSG00000078668
ENSGACP00000000433	
ENSGACP00000000434	ENSG00000204257
ENSGACP00000000435	
ENSGACP00000000437	ENSG00000196126
ENSGACP00000000437	ENSG00000179344
ENSGACP00000000437	ENSG00000223865
ENSGACP00000000437	ENSG00000198502
ENSGACP00000000437	ENSG00000241106
ENSGACP00000000437	ENSG00000248993
ENSGACP00000000437	ENSG00000232629
ENSGACP00000000437	ENSG00000242574
ENSGACP00000000438	ENSG00000198625
ENSGACP00000000440	ENSG00000198625
ENSGACP00000000439	ENSG00000204257
ENSGACP00000000442	ENSG00000204257
ENSGACP00000000445	ENSG00000204257
ENSGACP00000000443	ENSG00000122180
ENSGACP00000000448	ENSG00000122180
ENSGACP00000000450	ENSG00000196126
ENSGACP00000000450	ENSG00000179344
ENSGACP00000000450	ENSG00000223865
ENSGACP00000000450	ENSG00000198502
ENSGACP00000000450	ENSG00000241106
ENSGACP00000000450	ENSG00000248993
ENSGACP00000000450	ENSG00000232629
ENSGACP00000000450	ENSG00000242574
ENSGACP00000000452	ENSG00000196126
ENSGACP00000000452	ENSG00000179344
ENSGACP00000000452	ENSG00000223865
ENSGACP00000000452	ENSG00000198502
ENSGACP00000000452	ENSG00000241106
ENSGACP00000000452	ENSG00000248993
ENSGACP00000000452	ENSG00000232629
ENSGACP00000000452	ENSG00000242574
ENSGACP00000000453	ENSG00000196126
ENSGACP00000000453	ENSG00000179344
ENSGACP00000000453	ENSG00000223865
ENSGACP00000000453	ENSG00000198502
ENSGACP00000000453	ENSG00000241106
ENSGACP00000000453	ENSG00000248993
ENSGACP00000000453	ENSG00000232629
ENSGACP00000000453	ENSG00000242574
ENSGACP00000000454	ENSG00000196126
ENSGACP00000000454	ENSG00000179344
ENSGACP00000000454	ENSG00000223865
ENSGACP00000000454	ENSG00000198502
ENSGACP00000000454	ENSG00000241106
ENSGACP00000000454	ENSG00000248993
ENSGACP00000000454	ENSG00000232629
ENSGACP00000000454	ENSG00000242574
ENSGACP00000000449	ENSG00000100075
ENSGACP00000000447	
ENSGACP00000000455	ENSG00000143847
ENSGACP00000000459	ENSG00000241973
ENSGACP00000000451	
ENSGACP00000000456	ENSG00000164023
ENSGACP00000000462	ENSG00000163444
ENSGACP00000000465	ENSG00000163444
ENSGACP00000000457	ENSG00000164022
ENSGACP00000000458	
ENSGACP00000000460	ENSG00000005059
ENSGACP00000000461	ENSG00000005059
ENSGACP00000000463	ENSG00000152939
ENSGACP00000000464	ENSG00000205403
ENSGACP00000000469	ENSG00000205403
ENSGACP00000000466	ENSG00000197822
ENSGACP00000000467	ENSG00000189127
ENSGACP00000000474	ENSG00000113319
ENSGACP00000000470	ENSG00000155158
ENSGACP00000000472	ENSG00000155158
ENSGACP00000000475	
ENSGACP00000000476	ENSG00000188610
ENSGACP00000000476	ENSG00000263513
ENSGACP00000000476	ENSG00000196550
ENSGACP00000000476	ENSG00000215784
ENSGACP00000000497	ENSG00000131730
ENSGACP00000000498	ENSG00000131730
ENSGACP00000000502	ENSG00000131730
ENSGACP00000000504	ENSG00000131730
ENSGACP00000000480	
ENSGACP00000000485	ENSG00000263528
ENSGACP00000000486	ENSG00000263528
ENSGACP00000000489	ENSG00000263528
ENSGACP00000000483	
ENSGACP00000000484	
ENSGACP00000000487	
ENSGACP00000000488	ENSG00000151962
ENSGACP00000000496	ENSG00000168004
ENSGACP00000000496	ENSG00000133321
ENSGACP00000000490	ENSG00000266094
ENSGACP00000000491	ENSG00000266094
ENSGACP00000000492	
ENSGACP00000000494	ENSG00000143479
ENSGACP00000000493	
ENSGACP00000000495	
ENSGACP00000000505	ENSG00000162889
ENSGACP00000000499	
ENSGACP00000000500	
ENSGACP00000000501	
ENSGACP00000000503	
ENSGACP00000000522	ENSG00000236444
ENSGACP00000000522	ENSG00000185651
ENSGACP00000000507	ENSG00000162892
ENSGACP00000000507	ENSG00000142224
ENSGACP00000000507	ENSG00000162891
ENSGACP00000000509	ENSG00000162892
ENSGACP00000000509	ENSG00000142224
ENSGACP00000000509	ENSG00000162891
ENSGACP00000000508	
ENSGACP00000000510	
ENSGACP00000000511	ENSG00000188783
ENSGACP00000000512	ENSG00000168763
ENSGACP00000000517	ENSG00000122176
ENSGACP00000000513	
ENSGACP00000000514	
ENSGACP00000000515	
ENSGACP00000000518	
ENSGACP00000000519	
ENSGACP00000000521	ENSG00000268104
ENSGACP00000000520	
ENSGACP00000000524	ENSG00000134216
ENSGACP00000000527	ENSG00000134216
ENSGACP00000000523	ENSG00000157077
ENSGACP00000000525	
ENSGACP00000000526	
ENSGACP00000000528	ENSG00000170382
ENSGACP00000000535	ENSG00000062598
ENSGACP00000000537	ENSG00000062598
ENSGACP00000000530	ENSG00000115474
ENSGACP00000000531	
ENSGACP00000000533	
ENSGACP00000000536	
ENSGACP00000000538	
ENSGACP00000000532	ENSG00000080371
ENSGACP00000000534	ENSG00000080371
ENSGACP00000000539	
ENSGACP00000000543	ENSG00000101199
ENSGACP00000000540	ENSG00000136451
ENSGACP00000000541	ENSG00000177291
ENSGACP00000000542	ENSG00000181610
ENSGACP00000000546	ENSG00000066248
ENSGACP00000000544	
ENSGACP00000000545	
ENSGACP00000000555	
ENSGACP00000000556	
ENSGACP00000000547	
ENSGACP00000000548	
ENSGACP00000000549	ENSG00000173809
ENSGACP00000000550	ENSG00000173809
ENSGACP00000000551	
ENSGACP00000000552	ENSG00000161914
ENSGACP00000000552	ENSG00000267477
ENSGACP00000000553	
ENSGACP00000000554	
ENSGACP00000000566	ENSG00000103222
ENSGACP00000000568	ENSG00000103222
ENSGACP00000000557	
ENSGACP00000000559	
ENSGACP00000000558	ENSG00000124785
ENSGACP00000000560	ENSG00000254806
ENSGACP00000000560	ENSG00000204070
ENSGACP00000000561	
ENSGACP00000000562	
ENSGACP00000000563	
ENSGACP00000000564	
ENSGACP00000000565	
ENSGACP00000000567	ENSG00000158406
ENSGACP00000000572	ENSG00000151689
ENSGACP00000000569	ENSG00000124610
ENSGACP00000000569	ENSG00000187475
ENSGACP00000000569	ENSG00000124575
ENSGACP00000000569	ENSG00000184357
ENSGACP00000000569	ENSG00000168298
ENSGACP00000000569	ENSG00000187837
ENSGACP00000000570	ENSG00000126461
ENSGACP00000000573	ENSG00000126461
ENSGACP00000000571	ENSG00000146047
ENSGACP00000000576	ENSG00000188486
ENSGACP00000000574	ENSG00000257390
ENSGACP00000000574	ENSG00000135392
ENSGACP00000000575	ENSG00000166886
ENSGACP00000000578	ENSG00000123358
ENSGACP00000000579	ENSG00000075399
ENSGACP00000000581	ENSG00000075399
ENSGACP00000000577	ENSG00000067840
ENSGACP00000000589	
ENSGACP00000000593	
ENSGACP00000000605	ENSG00000204681
ENSGACP00000000585	ENSG00000065357
ENSGACP00000000583	
ENSGACP00000000586	ENSG00000104863
ENSGACP00000000584	ENSG00000158480
ENSGACP00000000584	ENSG00000158792
ENSGACP00000000587	ENSG00000258429
ENSGACP00000000590	ENSG00000254995
ENSGACP00000000590	ENSG00000124222
ENSGACP00000000591	ENSG00000254995
ENSGACP00000000591	ENSG00000124222
ENSGACP00000000592	ENSG00000131096
ENSGACP00000000595	ENSG00000131096
ENSGACP00000000588	
ENSGACP00000000596	ENSG00000198650
ENSGACP00000000602	ENSG00000198650
ENSGACP00000000594	ENSG00000123427
ENSGACP00000000603	ENSG00000102226
ENSGACP00000000608	ENSG00000102226
ENSGACP00000000598	ENSG00000144785
ENSGACP00000000598	ENSG00000257727
ENSGACP00000000597	ENSG00000108852
ENSGACP00000000601	ENSG00000073584
ENSGACP00000000604	ENSG00000073584
ENSGACP00000000599	
ENSGACP00000000600	
ENSGACP00000000617	ENSG00000110911
ENSGACP00000000618	ENSG00000110911
ENSGACP00000000607	
ENSGACP00000000615	ENSG00000125691
ENSGACP00000000609	
ENSGACP00000000610	
ENSGACP00000000611	ENSG00000226979
ENSGACP00000000611	ENSG00000232810
ENSGACP00000000614	ENSG00000049541
ENSGACP00000000621	ENSG00000049541
ENSGACP00000000612	ENSG00000103187
ENSGACP00000000616	ENSG00000137343
ENSGACP00000000620	ENSG00000137343
ENSGACP00000000613	ENSG00000140950
ENSGACP00000000627	ENSG00000197943
ENSGACP00000000628	ENSG00000197943
ENSGACP00000000619	ENSG00000154975
ENSGACP00000000623	ENSG00000105499
ENSGACP00000000626	ENSG00000139645
ENSGACP00000000637	ENSG00000101079
ENSGACP00000000640	ENSG00000101079
ENSGACP00000000622	
ENSGACP00000000625	
ENSGACP00000000624	ENSG00000142444
ENSGACP00000000631	ENSG00000130733
ENSGACP00000000633	ENSG00000130733
ENSGACP00000000630	ENSG00000204463
ENSGACP00000000632	ENSG00000204463
ENSGACP00000000634	ENSG00000215440
ENSGACP00000000636	ENSG00000215440
ENSGACP00000000629	ENSG00000261717
ENSGACP00000000629	ENSG00000166822
ENSGACP00000000635	ENSG00000204564
ENSGACP00000000639	ENSG00000188554
ENSGACP00000000638	ENSG00000122644
ENSGACP00000000641	ENSG00000101160
ENSGACP00000000649	ENSG00000106460
ENSGACP00000000642	ENSG00000175906
ENSGACP00000000643	ENSG00000025293
ENSGACP00000000644	ENSG00000025293
ENSGACP00000000648	ENSG00000101158
ENSGACP00000000650	ENSG00000101158
ENSGACP00000000646	ENSG00000140623
ENSGACP00000000653	ENSG00000088298
ENSGACP00000000647	ENSG00000127585
ENSGACP00000000651	
ENSGACP00000000654	ENSG00000117139
ENSGACP00000000652	
ENSGACP00000000656	ENSG00000143614
ENSGACP00000000655	ENSG00000164530
ENSGACP00000000658	ENSG00000183155
ENSGACP00000000657	
ENSGACP00000000676	ENSG00000265972
ENSGACP00000000678	ENSG00000265972
ENSGACP00000000659	ENSG00000124104
ENSGACP00000000663	ENSG00000159346
ENSGACP00000000660	
ENSGACP00000000662	ENSG00000013563
ENSGACP00000000661	
ENSGACP00000000679	ENSG00000054654
ENSGACP00000000668	ENSG00000101294
ENSGACP00000000670	ENSG00000101294
ENSGACP00000000671	ENSG00000101294
