Human gene stable ID	Protein stable ID
ENSG00000101343	ENSDARP00000132577
ENSG00000101343	ENSDARP00000100660
	ENSDARP00000090344
ENSG00000140374	ENSDARP00000140482
ENSG00000140374	ENSDARP00000136146
ENSG00000189143	ENSDARP00000137824
ENSG00000272886	ENSDARP00000132177
ENSG00000167522	ENSDARP00000068084
ENSG00000169436	ENSDARP00000138598
ENSG00000085465	ENSDARP00000138333
ENSG00000085465	ENSDARP00000134868
ENSG00000163820	ENSDARP00000099036
ENSG00000105281	ENSDARP00000141491
	ENSDARP00000088378
ENSG00000187098	ENSDARP00000021876
	ENSDARP00000136267
	ENSDARP00000100086
	ENSDARP00000131140
	ENSDARP00000064220
	ENSDARP00000009395
ENSG00000125650	ENSDARP00000132765
ENSG00000163882	ENSDARP00000056187
	ENSDARP00000082601
ENSG00000183773	ENSDARP00000085557
ENSG00000134255	ENSDARP00000076042
ENSG00000171551	ENSDARP00000079822
	ENSDARP00000054006
	ENSDARP00000141560
ENSG00000259288	ENSDARP00000094551
ENSG00000137843	ENSDARP00000094551
ENSG00000046604	ENSDARP00000057980
ENSG00000134757	ENSDARP00000057980
ENSG00000175065	ENSDARP00000057980
ENSG00000134760	ENSDARP00000057980
ENSG00000163586	ENSDARP00000003282
ENSG00000188554	ENSDARP00000104318
	ENSDARP00000138679
	ENSDARP00000113170
ENSG00000182747	ENSDARP00000144553
ENSG00000109943	ENSDARP00000109589
ENSG00000224940	ENSDARP00000108434
ENSG00000139826	ENSDARP00000076697
ENSG00000034510	ENSDARP00000095248
	ENSDARP00000023671
ENSG00000188716	ENSDARP00000109482
	ENSDARP00000126550
	ENSDARP00000044424
	ENSDARP00000130357
	ENSDARP00000135929
ENSG00000115464	ENSDARP00000137586
	ENSDARP00000104151
	ENSDARP00000134371
	ENSDARP00000130294
ENSG00000138698	ENSDARP00000101190
	ENSDARP00000139415
	ENSDARP00000051667
	ENSDARP00000117629
ENSG00000215021	ENSDARP00000144603
ENSG00000215021	ENSDARP00000063383
	ENSDARP00000139396
ENSG00000101187	ENSDARP00000141225
ENSG00000101187	ENSDARP00000134673
ENSG00000101187	ENSDARP00000143943
ENSG00000101187	ENSDARP00000099049
	ENSDARP00000134411
	ENSDARP00000143966
ENSG00000152133	ENSDARP00000034146
ENSG00000146197	ENSDARP00000093653
	ENSDARP00000095472
	ENSDARP00000110079
ENSG00000135903	ENSDARP00000019112
ENSG00000143793	ENSDARP00000018399
	ENSDARP00000141459
ENSG00000168813	ENSDARP00000140049
ENSG00000168813	ENSDARP00000137842
ENSG00000167904	ENSDARP00000062687
	ENSDARP00000141053
ENSG00000111726	ENSDARP00000107758
	ENSDARP00000134898
	ENSDARP00000130772
	ENSDARP00000102474
ENSG00000163508	ENSDARP00000007733
ENSG00000163508	ENSDARP00000111994
	ENSDARP00000134856
	ENSDARP00000134442
	ENSDARP00000134010
ENSG00000163508	ENSDARP00000141397
ENSG00000185896	ENSDARP00000136132
ENSG00000185896	ENSDARP00000141981
	ENSDARP00000137553
ENSG00000184564	ENSDARP00000139445
ENSG00000171475	ENSDARP00000011930
	ENSDARP00000109897
	ENSDARP00000140827
ENSG00000065057	ENSDARP00000062940
ENSG00000184232	ENSDARP00000103787
ENSG00000169026	ENSDARP00000131603
ENSG00000169026	ENSDARP00000138298
ENSG00000169026	ENSDARP00000138750
ENSG00000130449	ENSDARP00000133495
	ENSDARP00000134007
ENSG00000175445	ENSDARP00000135122
	ENSDARP00000090044
	ENSDARP00000098690
ENSG00000125731	ENSDARP00000111201
	ENSDARP00000143342
ENSG00000128266	ENSDARP00000141935
	ENSDARP00000134446
ENSG00000232434	ENSDARP00000104025
ENSG00000177707	ENSDARP00000134588
	ENSDARP00000139408
ENSG00000171246	ENSDARP00000091100
ENSG00000163116	ENSDARP00000140000
ENSG00000163116	ENSDARP00000081101
ENSG00000257218	ENSDARP00000073880
ENSG00000111780	ENSDARP00000073880
ENSG00000184887	ENSDARP00000094404
	ENSDARP00000057731
	ENSDARP00000138828
ENSG00000196305	ENSDARP00000136392
ENSG00000196305	ENSDARP00000009149
	ENSDARP00000135062
	ENSDARP00000053749
ENSG00000152207	ENSDARP00000092646
	ENSDARP00000073848
	ENSDARP00000098487
	ENSDARP00000103536
	ENSDARP00000111482
	ENSDARP00000107351
	ENSDARP00000134457
	ENSDARP00000139273
	ENSDARP00000139884
	ENSDARP00000136669
	ENSDARP00000072262
ENSG00000167311	ENSDARP00000056020
ENSG00000111339	ENSDARP00000056020
ENSG00000129744	ENSDARP00000056020
ENSG00000156219	ENSDARP00000056020
ENSG00000172461	ENSDARP00000076502
ENSG00000204257	ENSDARP00000112102
	ENSDARP00000136193
ENSG00000186767	ENSDARP00000017168
	ENSDARP00000139058
	ENSDARP00000093778
	ENSDARP00000098420
ENSG00000187323	ENSDARP00000137236
	ENSDARP00000130016
ENSG00000168418	ENSDARP00000068090
ENSG00000171657	ENSDARP00000130621
ENSG00000132481	ENSDARP00000143670
ENSG00000183560	ENSDARP00000141806
ENSG00000165457	ENSDARP00000141806
ENSG00000110203	ENSDARP00000141806
ENSG00000110195	ENSDARP00000141806
ENSG00000183560	ENSDARP00000140245
ENSG00000165457	ENSDARP00000140245
ENSG00000110203	ENSDARP00000140245
ENSG00000110195	ENSDARP00000140245
ENSG00000198380	ENSDARP00000074585
ENSG00000060566	ENSDARP00000112226
	ENSDARP00000051504
	ENSDARP00000065135
	ENSDARP00000139877
ENSG00000169676	ENSDARP00000046873
ENSG00000126432	ENSDARP00000109990
	ENSDARP00000139335
ENSG00000160305	ENSDARP00000101175
ENSG00000204882	ENSDARP00000103891
	ENSDARP00000131916
ENSG00000090020	ENSDARP00000088401
ENSG00000090020	ENSDARP00000137884
	ENSDARP00000120029
ENSG00000205356	ENSDARP00000084917
ENSG00000167977	ENSDARP00000136454
	ENSDARP00000139757
	ENSDARP00000136733
	ENSDARP00000119649
	ENSDARP00000131615
	ENSDARP00000135927
ENSG00000108523	ENSDARP00000144043
ENSG00000108523	ENSDARP00000026328
	ENSDARP00000135413
	ENSDARP00000140597
	ENSDARP00000131302
	ENSDARP00000106101
	ENSDARP00000136690
ENSG00000018189	ENSDARP00000039972
ENSG00000166450	ENSDARP00000134878
ENSG00000261371	ENSDARP00000079164
ENSG00000144320	ENSDARP00000140456
ENSG00000144320	ENSDARP00000139167
ENSG00000144320	ENSDARP00000087619
ENSG00000235711	ENSDARP00000120378
	ENSDARP00000040536
	ENSDARP00000065391
ENSG00000149636	ENSDARP00000104986
ENSG00000163873	ENSDARP00000099134
ENSG00000077549	ENSDARP00000140899
ENSG00000077549	ENSDARP00000140388
	ENSDARP00000139827
ENSG00000184831	ENSDARP00000133423
ENSG00000184831	ENSDARP00000141485
ENSG00000184831	ENSDARP00000134813
ENSG00000184831	ENSDARP00000136180
ENSG00000148826	ENSDARP00000140556
ENSG00000154678	ENSDARP00000111916
	ENSDARP00000130787
	ENSDARP00000119575
	ENSDARP00000101373
	ENSDARP00000103515
ENSG00000239672	ENSDARP00000138982
ENSG00000011052	ENSDARP00000138982
ENSG00000243678	ENSDARP00000138982
	ENSDARP00000120860
	ENSDARP00000062414
ENSG00000081019	ENSDARP00000131486
ENSG00000081019	ENSDARP00000136548
ENSG00000022567	ENSDARP00000133588
	ENSDARP00000133173
	ENSDARP00000143377
	ENSDARP00000133511
	ENSDARP00000138175
ENSG00000140750	ENSDARP00000099577
ENSG00000140750	ENSDARP00000144204
	ENSDARP00000111605
	ENSDARP00000100650
	ENSDARP00000131994
ENSG00000130540	ENSDARP00000132405
	ENSDARP00000134554
	ENSDARP00000132786
	ENSDARP00000136116
ENSG00000076826	ENSDARP00000106133
	ENSDARP00000102376
	ENSDARP00000143555
ENSG00000204160	ENSDARP00000131581
ENSG00000204160	ENSDARP00000136991
	ENSDARP00000141895
ENSG00000109133	ENSDARP00000060576
	ENSDARP00000060423
ENSG00000096717	ENSDARP00000088981
ENSG00000133067	ENSDARP00000132089
ENSG00000204882	ENSDARP00000129980
ENSG00000117153	ENSDARP00000131425
ENSG00000167311	ENSDARP00000136855
ENSG00000111339	ENSDARP00000136855
ENSG00000129744	ENSDARP00000136855
ENSG00000156219	ENSDARP00000136855
ENSG00000167311	ENSDARP00000141297
ENSG00000111339	ENSDARP00000141297
ENSG00000129744	ENSDARP00000141297
ENSG00000156219	ENSDARP00000141297
ENSG00000155254	ENSDARP00000011783
	ENSDARP00000133018
ENSG00000204923	ENSDARP00000133098
ENSG00000204923	ENSDARP00000129519
ENSG00000196126	ENSDARP00000110668
ENSG00000179344	ENSDARP00000110668
ENSG00000223865	ENSDARP00000110668
ENSG00000198502	ENSDARP00000110668
ENSG00000241106	ENSDARP00000110668
ENSG00000248993	ENSDARP00000110668
ENSG00000232629	ENSDARP00000110668
ENSG00000242574	ENSDARP00000110668
ENSG00000114859	ENSDARP00000132004
ENSG00000114859	ENSDARP00000144058
ENSG00000165478	ENSDARP00000101252
	ENSDARP00000025732
	ENSDARP00000136704
	ENSDARP00000133976
	ENSDARP00000132503
ENSG00000155545	ENSDARP00000106810
ENSG00000155545	ENSDARP00000107130
ENSG00000184838	ENSDARP00000138762
	ENSDARP00000101634
ENSG00000117477	ENSDARP00000083594
ENSG00000168813	ENSDARP00000131022
	ENSDARP00000130572
ENSG00000145864	ENSDARP00000141106
	ENSDARP00000131201
ENSG00000267534	ENSDARP00000053105
ENSG00000130787	ENSDARP00000079991
ENSG00000166801	ENSDARP00000141462
ENSG00000189057	ENSDARP00000141462
ENSG00000100596	ENSDARP00000103258
ENSG00000074276	ENSDARP00000090016
ENSG00000074276	ENSDARP00000144259
ENSG00000185379	ENSDARP00000107754
ENSG00000136859	ENSDARP00000067598
ENSG00000112137	ENSDARP00000008140
ENSG00000205413	ENSDARP00000131379
ENSG00000177409	ENSDARP00000131379
ENSG00000180357	ENSDARP00000135486
ENSG00000158683	ENSDARP00000137494
ENSG00000158683	ENSDARP00000135988
	ENSDARP00000138335
ENSG00000034533	ENSDARP00000084981
ENSG00000145390	ENSDARP00000100689
ENSG00000145390	ENSDARP00000136872
	ENSDARP00000111096
ENSG00000065615	ENSDARP00000129991
ENSG00000065615	ENSDARP00000003991
ENSG00000238227	ENSDARP00000136972
ENSG00000148935	ENSDARP00000038511
ENSG00000017797	ENSDARP00000099701
ENSG00000017797	ENSDARP00000109736
	ENSDARP00000138717
ENSG00000196335	ENSDARP00000143575
ENSG00000172232	ENSDARP00000128369
ENSG00000197561	ENSDARP00000128369
ENSG00000196415	ENSDARP00000128369
	ENSDARP00000105705
ENSG00000004399	ENSDARP00000112069
ENSG00000176472	ENSDARP00000134565
ENSG00000176472	ENSDARP00000130537
ENSG00000155158	ENSDARP00000141336
ENSG00000131620	ENSDARP00000134564
ENSG00000131620	ENSDARP00000133885
ENSG00000131620	ENSDARP00000138095
	ENSDARP00000136596
	ENSDARP00000133202
	ENSDARP00000137778
ENSG00000137269	ENSDARP00000138287
ENSG00000159346	ENSDARP00000062681
ENSG00000166924	ENSDARP00000130957
ENSG00000137440	ENSDARP00000105647
ENSG00000113649	ENSDARP00000046075
ENSG00000162461	ENSDARP00000108999
ENSG00000162461	ENSDARP00000109724
ENSG00000162461	ENSDARP00000136259
	ENSDARP00000056332
ENSG00000055332	ENSDARP00000068719
ENSG00000055332	ENSDARP00000033668
	ENSDARP00000098912
ENSG00000115539	ENSDARP00000135403
ENSG00000115539	ENSDARP00000135207
ENSG00000182463	ENSDARP00000097577
	ENSDARP00000137912
	ENSDARP00000140361
ENSG00000164318	ENSDARP00000132488
	ENSDARP00000132583
ENSG00000006059	ENSDARP00000090936
ENSG00000131737	ENSDARP00000090936
ENSG00000131738	ENSDARP00000090936
ENSG00000171360	ENSDARP00000090936
ENSG00000204889	ENSDARP00000090936
ENSG00000108759	ENSDARP00000090936
ENSG00000197079	ENSDARP00000090936
ENSG00000196859	ENSDARP00000090936
ENSG00000108417	ENSDARP00000090936
ENSG00000126337	ENSDARP00000090936
ENSG00000094796	ENSDARP00000090936
ENSG00000147592	ENSDARP00000135490
ENSG00000151365	ENSDARP00000140435
	ENSDARP00000113271
	ENSDARP00000104464
	ENSDARP00000134680
ENSG00000177354	ENSDARP00000110271
	ENSDARP00000131885
ENSG00000120705	ENSDARP00000138223
	ENSDARP00000109062
	ENSDARP00000137359
	ENSDARP00000046960
	ENSDARP00000130959
	ENSDARP00000133685
	ENSDARP00000131369
ENSG00000095209	ENSDARP00000134715
ENSG00000175063	ENSDARP00000051905
ENSG00000108231	ENSDARP00000027521
ENSG00000127445	ENSDARP00000134093
ENSG00000168661	ENSDARP00000138758
ENSG00000196670	ENSDARP00000138758
ENSG00000182903	ENSDARP00000138758
ENSG00000196350	ENSDARP00000138758
ENSG00000196967	ENSDARP00000138758
ENSG00000267041	ENSDARP00000138758
ENSG00000204611	ENSDARP00000138758
ENSG00000197497	ENSDARP00000138758
ENSG00000213973	ENSDARP00000138758
ENSG00000197937	ENSDARP00000138758
ENSG00000213799	ENSDARP00000138758
ENSG00000196247	ENSDARP00000138758
ENSG00000170949	ENSDARP00000138758
ENSG00000196437	ENSDARP00000138758
ENSG00000090612	ENSDARP00000138758
ENSG00000186448	ENSDARP00000138758
ENSG00000160321	ENSDARP00000138758
ENSG00000196267	ENSDARP00000138758
ENSG00000167232	ENSDARP00000138758
ENSG00000274349	ENSDARP00000138758
ENSG00000197566	ENSDARP00000138758
ENSG00000096654	ENSDARP00000138758
ENSG00000197050	ENSDARP00000138758
ENSG00000187187	ENSDARP00000138758
ENSG00000197608	ENSDARP00000138758
ENSG00000168661	ENSDARP00000106973
ENSG00000196670	ENSDARP00000106973
ENSG00000182903	ENSDARP00000106973
ENSG00000196350	ENSDARP00000106973
ENSG00000196967	ENSDARP00000106973
ENSG00000267041	ENSDARP00000106973
ENSG00000204611	ENSDARP00000106973
ENSG00000197497	ENSDARP00000106973
ENSG00000213973	ENSDARP00000106973
ENSG00000197937	ENSDARP00000106973
ENSG00000213799	ENSDARP00000106973
ENSG00000196247	ENSDARP00000106973
ENSG00000170949	ENSDARP00000106973
ENSG00000196437	ENSDARP00000106973
ENSG00000090612	ENSDARP00000106973
ENSG00000186448	ENSDARP00000106973
ENSG00000160321	ENSDARP00000106973
ENSG00000196267	ENSDARP00000106973
ENSG00000167232	ENSDARP00000106973
ENSG00000274349	ENSDARP00000106973
ENSG00000197566	ENSDARP00000106973
ENSG00000096654	ENSDARP00000106973
ENSG00000197050	ENSDARP00000106973
ENSG00000187187	ENSDARP00000106973
ENSG00000197608	ENSDARP00000106973
	ENSDARP00000130522
	ENSDARP00000103747
ENSG00000130287	ENSDARP00000137585
ENSG00000123064	ENSDARP00000140276
ENSG00000123064	ENSDARP00000132252
ENSG00000123064	ENSDARP00000138094
ENSG00000123064	ENSDARP00000137490
ENSG00000119946	ENSDARP00000101163
ENSG00000119946	ENSDARP00000132784
	ENSDARP00000101921
ENSG00000187741	ENSDARP00000134697
ENSG00000187741	ENSDARP00000137880
	ENSDARP00000139178
ENSG00000164326	ENSDARP00000141932
ENSG00000196576	ENSDARP00000042780
	ENSDARP00000135050
ENSG00000141447	ENSDARP00000070318
	ENSDARP00000139236
	ENSDARP00000111107
ENSG00000164935	ENSDARP00000098522
	ENSDARP00000141097
	ENSDARP00000138018
	ENSDARP00000139689
	ENSDARP00000134370
ENSG00000136870	ENSDARP00000138133
ENSG00000136870	ENSDARP00000143626
ENSG00000136870	ENSDARP00000137261
	ENSDARP00000143975
	ENSDARP00000144141
	ENSDARP00000133661
ENSG00000106638	ENSDARP00000136254
ENSG00000106638	ENSDARP00000063641
	ENSDARP00000138789
ENSG00000160683	ENSDARP00000010091
ENSG00000170801	ENSDARP00000016871
ENSG00000015532	ENSDARP00000077337
	ENSDARP00000134342
	ENSDARP00000130234
ENSG00000144847	ENSDARP00000089974
ENSG00000175514	ENSDARP00000093208
	ENSDARP00000108095
	ENSDARP00000130243
ENSG00000115129	ENSDARP00000144288
ENSG00000115129	ENSDARP00000143656
ENSG00000115129	ENSDARP00000144474
ENSG00000115129	ENSDARP00000143369
	ENSDARP00000055742
	ENSDARP00000101495
	ENSDARP00000131872
ENSG00000198001	ENSDARP00000131697
ENSG00000198001	ENSDARP00000136170
ENSG00000198001	ENSDARP00000135636
ENSG00000204366	ENSDARP00000136133
ENSG00000162734	ENSDARP00000087123
ENSG00000197959	ENSDARP00000139901
	ENSDARP00000121632
	ENSDARP00000144260
	ENSDARP00000132976
	ENSDARP00000135000
	ENSDARP00000134668
ENSG00000100941	ENSDARP00000011002
ENSG00000145700	ENSDARP00000069125
ENSG00000267909	ENSDARP00000106528
ENSG00000232434	ENSDARP00000101303
ENSG00000128268	ENSDARP00000130717
ENSG00000128268	ENSDARP00000053183
ENSG00000128268	ENSDARP00000135169
	ENSDARP00000139629
ENSG00000145375	ENSDARP00000130015
ENSG00000168661	ENSDARP00000106540
ENSG00000196670	ENSDARP00000106540
ENSG00000182903	ENSDARP00000106540
ENSG00000196350	ENSDARP00000106540
ENSG00000196967	ENSDARP00000106540
ENSG00000267041	ENSDARP00000106540
ENSG00000204611	ENSDARP00000106540
ENSG00000197497	ENSDARP00000106540
ENSG00000213973	ENSDARP00000106540
ENSG00000197937	ENSDARP00000106540
ENSG00000213799	ENSDARP00000106540
ENSG00000196247	ENSDARP00000106540
ENSG00000170949	ENSDARP00000106540
ENSG00000196437	ENSDARP00000106540
ENSG00000090612	ENSDARP00000106540
ENSG00000186448	ENSDARP00000106540
ENSG00000160321	ENSDARP00000106540
ENSG00000196267	ENSDARP00000106540
ENSG00000167232	ENSDARP00000106540
ENSG00000274349	ENSDARP00000106540
ENSG00000197566	ENSDARP00000106540
ENSG00000096654	ENSDARP00000106540
ENSG00000197050	ENSDARP00000106540
ENSG00000187187	ENSDARP00000106540
ENSG00000197608	ENSDARP00000106540
ENSG00000168661	ENSDARP00000110934
ENSG00000196670	ENSDARP00000110934
ENSG00000182903	ENSDARP00000110934
ENSG00000196350	ENSDARP00000110934
ENSG00000196967	ENSDARP00000110934
ENSG00000267041	ENSDARP00000110934
ENSG00000204611	ENSDARP00000110934
ENSG00000197497	ENSDARP00000110934
ENSG00000213973	ENSDARP00000110934
ENSG00000197937	ENSDARP00000110934
ENSG00000213799	ENSDARP00000110934
ENSG00000196247	ENSDARP00000110934
ENSG00000170949	ENSDARP00000110934
ENSG00000196437	ENSDARP00000110934
ENSG00000090612	ENSDARP00000110934
ENSG00000186448	ENSDARP00000110934
ENSG00000160321	ENSDARP00000110934
ENSG00000196267	ENSDARP00000110934
ENSG00000167232	ENSDARP00000110934
ENSG00000274349	ENSDARP00000110934
ENSG00000197566	ENSDARP00000110934
ENSG00000096654	ENSDARP00000110934
ENSG00000197050	ENSDARP00000110934
ENSG00000187187	ENSDARP00000110934
ENSG00000197608	ENSDARP00000110934
ENSG00000100304	ENSDARP00000136478
ENSG00000206579	ENSDARP00000131235
ENSG00000132792	ENSDARP00000136166
ENSG00000132792	ENSDARP00000026984
ENSG00000240771	ENSDARP00000130917
	ENSDARP00000050388
	ENSDARP00000050842
ENSG00000188916	ENSDARP00000144350
ENSG00000188916	ENSDARP00000144374
	ENSDARP00000133510
	ENSDARP00000120849
	ENSDARP00000131693
	ENSDARP00000132633
	ENSDARP00000142981
	ENSDARP00000048849
	ENSDARP00000130679
ENSG00000057757	ENSDARP00000138466
ENSG00000066405	ENSDARP00000140824
	ENSDARP00000139702
ENSG00000119922	ENSDARP00000136275
ENSG00000152778	ENSDARP00000136275
ENSG00000185745	ENSDARP00000136275
ENSG00000204010	ENSDARP00000136275
ENSG00000119917	ENSDARP00000136275
ENSG00000119922	ENSDARP00000110579
ENSG00000152778	ENSDARP00000110579
ENSG00000185745	ENSDARP00000110579
ENSG00000204010	ENSDARP00000110579
ENSG00000119917	ENSDARP00000110579
ENSG00000172006	ENSDARP00000105352
	ENSDARP00000012434
ENSG00000178201	ENSDARP00000135478
ENSG00000228567	ENSDARP00000135478
ENSG00000196131	ENSDARP00000135478
ENSG00000136933	ENSDARP00000136816
	ENSDARP00000132023
ENSG00000002330	ENSDARP00000110213
ENSG00000196422	ENSDARP00000138849
ENSG00000088256	ENSDARP00000044410
	ENSDARP00000110607
	ENSDARP00000109478
ENSG00000196743	ENSDARP00000144036
ENSG00000007402	ENSDARP00000048022
	ENSDARP00000119064
	ENSDARP00000132236
ENSG00000119715	ENSDARP00000136509
	ENSDARP00000136589
	ENSDARP00000130204
	ENSDARP00000119042
	ENSDARP00000131602
ENSG00000163041	ENSDARP00000047268
	ENSDARP00000141980
ENSG00000158158	ENSDARP00000131731
ENSG00000127328	ENSDARP00000138116
ENSG00000258052	ENSDARP00000138116
ENSG00000127328	ENSDARP00000136895
ENSG00000258052	ENSDARP00000136895
	ENSDARP00000139187
ENSG00000197345	ENSDARP00000130836
ENSG00000197345	ENSDARP00000111281
ENSG00000182077	ENSDARP00000022904
	ENSDARP00000139498
	ENSDARP00000111362
	ENSDARP00000131518
ENSG00000136044	ENSDARP00000141315
ENSG00000136044	ENSDARP00000101503
ENSG00000134830	ENSDARP00000059000
ENSG00000197405	ENSDARP00000059000
ENSG00000162300	ENSDARP00000141625
ENSG00000220201	ENSDARP00000088239
ENSG00000169248	ENSDARP00000133434
	ENSDARP00000112895
	ENSDARP00000139659
	ENSDARP00000098867
ENSG00000078246	ENSDARP00000144349
ENSG00000078246	ENSDARP00000087668
	ENSDARP00000141083
	ENSDARP00000131724
	ENSDARP00000106979
ENSG00000112759	ENSDARP00000137952
	ENSDARP00000137034
ENSG00000120805	ENSDARP00000132630
	ENSDARP00000116276
	ENSDARP00000074522
ENSG00000188613	ENSDARP00000098689
	ENSDARP00000093656
ENSG00000158869	ENSDARP00000138993
ENSG00000138347	ENSDARP00000104336
ENSG00000159131	ENSDARP00000131787
ENSG00000159131	ENSDARP00000131447
ENSG00000159131	ENSDARP00000132785
ENSG00000129596	ENSDARP00000141126
ENSG00000129596	ENSDARP00000137807
	ENSDARP00000098089
	ENSDARP00000134289
ENSG00000259399	ENSDARP00000100542
ENSG00000101084	ENSDARP00000100542
ENSG00000159248	ENSDARP00000088855
	ENSDARP00000137519
	ENSDARP00000119882
	ENSDARP00000131461
ENSG00000168003	ENSDARP00000053796
ENSG00000124610	ENSDARP00000097572
ENSG00000187475	ENSDARP00000097572
ENSG00000124575	ENSDARP00000097572
ENSG00000184357	ENSDARP00000097572
ENSG00000168298	ENSDARP00000097572
ENSG00000187837	ENSDARP00000097572
ENSG00000107371	ENSDARP00000138972
	ENSDARP00000135973
ENSG00000257767	ENSDARP00000137966
ENSG00000111275	ENSDARP00000137966
	ENSDARP00000054177
	ENSDARP00000110810
ENSG00000105550	ENSDARP00000140850
ENSG00000168916	ENSDARP00000101283
	ENSDARP00000133721
ENSG00000259040	ENSDARP00000135418
ENSG00000188428	ENSDARP00000135418
ENSG00000189143	ENSDARP00000104885
	ENSDARP00000111406
ENSG00000185800	ENSDARP00000003663
ENSG00000274183	ENSDARP00000137682
ENSG00000277858	ENSDARP00000137682
ENSG00000277745	ENSDARP00000137682
ENSG00000106560	ENSDARP00000139785
ENSG00000171115	ENSDARP00000139785
ENSG00000213203	ENSDARP00000139785
ENSG00000281887	ENSDARP00000139785
ENSG00000133561	ENSDARP00000139785
ENSG00000179144	ENSDARP00000139785
ENSG00000133574	ENSDARP00000139785
ENSG00000196329	ENSDARP00000139785
ENSG00000106560	ENSDARP00000134654
ENSG00000171115	ENSDARP00000134654
ENSG00000213203	ENSDARP00000134654
ENSG00000281887	ENSDARP00000134654
ENSG00000133561	ENSDARP00000134654
ENSG00000179144	ENSDARP00000134654
ENSG00000133574	ENSDARP00000134654
ENSG00000196329	ENSDARP00000134654
ENSG00000176715	ENSDARP00000077215
